EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, BALLOTS (STAID: 761).
Blended and updated with sources: 104943 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104943,19560101,  104,    0
104943,19560102,    0,    0
104943,19560103,    0,    0
104943,19560104,    0,    0
104943,19560105,    0,    0
104943,19560106,    0,    0
104943,19560107,    2,    0
104943,19560108,   64,    0
104943,19560109,  106,    0
104943,19560110,   64,    0
104943,19560111,   54,    0
104943,19560112,   40,    0
104943,19560113,    0,    0
104943,19560114,   18,    0
104943,19560115,    0,    0
104943,19560116,    4,    0
104943,19560117,   55,    0
104943,19560118,    3,    0
104943,19560119,    0,    0
104943,19560120,    7,    0
104943,19560121,   13,    0
104943,19560122,   21,    0
104943,19560123,  125,    0
104943,19560124,    0,    0
104943,19560125,   97,    0
104943,19560126,    3,    0
104943,19560127,   16,    0
104943,19560128,   26,    0
104943,19560129,   51,    0
104943,19560130,  225,    0
104943,19560131,   45,    0
104943,19560201,    0,    0
104943,19560202,    0,    0
104943,19560203,    0,    0
104943,19560204,    0,    0
104943,19560205,    0,    0
104943,19560206,    0,    0
104943,19560207,    0,    0
104943,19560208,    1,    0
104943,19560209,    0,    0
104943,19560210,    0,    0
104943,19560211,    0,    0
104943,19560212,   12,    0
104943,19560213,   17,    0
104943,19560214,    0,    0
104943,19560215,    7,    0
104943,19560216,    0,    0
104943,19560217,    4,    0
104943,19560218,   15,    0
104943,19560219,   10,    0
104943,19560220,    1,    0
104943,19560221,    0,    0
104943,19560222,    0,    0
104943,19560223,    0,    0
104943,19560224,    0,    0
104943,19560225,    0,    0
104943,19560226,    0,    0
104943,19560227,    0,    0
104943,19560228,    2,    0
104943,19560229,    0,    0
104943,19560301,    0,    0
104943,19560302,   12,    0
104943,19560303,    0,    0
104943,19560304,   28,    0
104943,19560305,    0,    0
104943,19560306,    0,    0
104943,19560307,    0,    0
104943,19560308,    0,    0
104943,19560309,    0,    0
104943,19560310,    0,    0
104943,19560311,    0,    0
104943,19560312,    0,    0
104943,19560313,    0,    0
104943,19560314,    0,    0
104943,19560315,    0,    0
104943,19560316,    0,    0
104943,19560317,    0,    0
104943,19560318,    2,    0
104943,19560319,   14,    0
104943,19560320,  147,    0
104943,19560321,   12,    0
104943,19560322,    9,    0
104943,19560323,    3,    0
104943,19560324,   18,    0
104943,19560325,    1,    0
104943,19560326,   50,    0
104943,19560327,    0,    0
104943,19560328,    0,    0
104943,19560329,    0,    0
104943,19560330,   70,    0
104943,19560331,    0,    0
104943,19560401,    0,    0
104943,19560402,    0,    0
104943,19560403,    0,    0
104943,19560404,    0,    0
104943,19560405,    0,    0
104943,19560406,    0,    0
104943,19560407,    0,    0
104943,19560408,    0,    0
104943,19560409,    0,    0
104943,19560410,    0,    0
104943,19560411,   15,    0
104943,19560412,   73,    0
104943,19560413,  102,    0
104943,19560414,   24,    0
104943,19560415,   19,    0
104943,19560416,    0,    0
104943,19560417,    0,    0
104943,19560418,    0,    0
104943,19560419,    0,    0
104943,19560420,    0,    0
104943,19560421,    0,    0
104943,19560422,    0,    0
104943,19560423,    0,    0
104943,19560424,    0,    0
104943,19560425,    0,    0
104943,19560426,   35,    0
104943,19560427,  240,    0
104943,19560428,  140,    0
104943,19560429,    0,    0
104943,19560430,    1,    0
104943,19560501,   69,    0
104943,19560502,   13,    0
104943,19560503,    6,    0
104943,19560504,    0,    0
104943,19560505,    0,    0
104943,19560506,    0,    0
104943,19560507,    0,    0
104943,19560508,    0,    0
104943,19560509,    0,    0
104943,19560510,    2,    0
104943,19560511,   24,    0
104943,19560512,    0,    0
104943,19560513,    0,    0
104943,19560514,    0,    0
104943,19560515,    0,    0
104943,19560516,    0,    0
104943,19560517,    0,    0
104943,19560518,    0,    0
104943,19560519,    0,    0
104943,19560520,    0,    0
104943,19560521,    0,    0
104943,19560522,    1,    0
104943,19560523,    0,    0
104943,19560524,   31,    0
104943,19560525,    0,    0
104943,19560526,    0,    0
104943,19560527,    9,    0
104943,19560528,   83,    0
104943,19560529,    0,    0
104943,19560530,  111,    0
104943,19560531,    1,    0
104943,19560601,    0,    0
104943,19560602,    3,    0
104943,19560603,    0,    0
104943,19560604,   49,    0
104943,19560605,    0,    0
104943,19560606,    2,    0
104943,19560607,   53,    0
104943,19560608,    2,    0
104943,19560609,   47,    0
104943,19560610,   35,    0
104943,19560611,    6,    0
104943,19560612,    4,    0
104943,19560613,    0,    0
104943,19560614,    0,    0
104943,19560615,    4,    0
104943,19560616,    2,    0
104943,19560617,    0,    0
104943,19560618,    0,    0
104943,19560619,   12,    0
104943,19560620,    3,    0
104943,19560621,    0,    0
104943,19560622,    0,    0
104943,19560623,    0,    0
104943,19560624,    0,    0
104943,19560625,    0,    0
104943,19560626,    0,    0
104943,19560627,    0,    0
104943,19560628,    0,    0
104943,19560629,    0,    0
104943,19560630,    7,    0
104943,19560701,  108,    0
104943,19560702,    0,    0
104943,19560703,   10,    0
104943,19560704,    0,    0
104943,19560705,    2,    0
104943,19560706,    0,    0
104943,19560707,    0,    0
104943,19560708,    0,    0
104943,19560709,    0,    0
104943,19560710,    0,    0
104943,19560711,    0,    0
104943,19560712,    0,    0
104943,19560713,  206,    0
104943,19560714,   43,    0
104943,19560715,  183,    0
104943,19560716,   12,    0
104943,19560717,    0,    0
104943,19560718,    7,    0
104943,19560719,   82,    0
104943,19560720,   98,    0
104943,19560721,    0,    0
104943,19560722,    0,    0
104943,19560723,    0,    0
104943,19560724,    0,    0
104943,19560725,    0,    0
104943,19560726,    0,    0
104943,19560727,    0,    0
104943,19560728,   63,    0
104943,19560729,    5,    0
104943,19560730,    1,    0
104943,19560731,    0,    0
104943,19560801,   43,    0
104943,19560802,   17,    0
104943,19560803,-9999,    9
104943,19560804,-9999,    9
104943,19560805,-9999,    9
104943,19560806,-9999,    9
104943,19560807,-9999,    9
104943,19560808,-9999,    9
104943,19560809,-9999,    9
104943,19560810,-9999,    9
104943,19560811,-9999,    9
104943,19560812,-9999,    9
104943,19560813,-9999,    9
104943,19560814,-9999,    9
104943,19560815,-9999,    9
104943,19560816,    0,    0
104943,19560817,   62,    0
104943,19560818,    1,    0
104943,19560819,    0,    0
104943,19560820,    0,    0
104943,19560821,   83,    0
104943,19560822,    0,    0
104943,19560823,   37,    0
104943,19560824,  176,    0
104943,19560825,    2,    0
104943,19560826,   17,    0
104943,19560827,   85,    0
104943,19560828,   11,    0
104943,19560829,   32,    0
104943,19560830,    2,    0
104943,19560831,  260,    0
104943,19560901,    1,    0
104943,19560902,   50,    0
104943,19560903,   82,    0
104943,19560904,   34,    0
104943,19560905,   30,    0
104943,19560906,   11,    0
104943,19560907,    1,    0
104943,19560908,   34,    0
104943,19560909,   55,    0
104943,19560910,    0,    0
104943,19560911,    0,    0
104943,19560912,    0,    0
104943,19560913,    0,    0
104943,19560914,    0,    0
104943,19560915,    0,    0
104943,19560916,    0,    0
104943,19560917,    0,    0
104943,19560918,    0,    0
104943,19560919,    0,    0
104943,19560920,    0,    0
104943,19560921,   49,    0
104943,19560922,   17,    0
104943,19560923,    0,    0
104943,19560924,   19,    0
104943,19560925,    0,    0
104943,19560926,    3,    0
104943,19560927,    8,    0
104943,19560928,   62,    0
104943,19560929,    1,    0
104943,19560930,    0,    0
104943,19561001,   48,    0
104943,19561002,   16,    0
104943,19561003,    0,    0
104943,19561004,   46,    0
104943,19561005,   32,    0
104943,19561006,    0,    0
104943,19561007,    0,    0
104943,19561008,    1,    0
104943,19561009,    0,    0
104943,19561010,    0,    0
104943,19561011,    0,    0
104943,19561012,    0,    0
104943,19561013,    2,    0
104943,19561014,    2,    0
104943,19561015,    5,    0
104943,19561016,   21,    0
104943,19561017,   27,    0
104943,19561018,    9,    0
104943,19561019,    1,    0
104943,19561020,   17,    0
104943,19561021,    1,    0
104943,19561022,    2,    0
104943,19561023,    1,    0
104943,19561024,    0,    0
104943,19561025,   60,    0
104943,19561026,    0,    0
104943,19561027,    0,    0
104943,19561028,   24,    0
104943,19561029,    1,    0
104943,19561030,    7,    0
104943,19561031,    0,    0
104943,19561101,    2,    0
104943,19561102,    0,    0
104943,19561103,    1,    0
104943,19561104,    2,    0
104943,19561105,    1,    0
104943,19561106,    0,    0
104943,19561107,    0,    0
104943,19561108,    7,    0
104943,19561109,   16,    0
104943,19561110,   79,    0
104943,19561111,   51,    0
104943,19561112,    4,    0
104943,19561113,    1,    0
104943,19561114,   28,    0
104943,19561115,    0,    0
104943,19561116,    0,    0
104943,19561117,    0,    0
104943,19561118,    0,    0
104943,19561119,    0,    0
104943,19561120,    0,    0
104943,19561121,    0,    0
104943,19561122,    0,    0
104943,19561123,    0,    0
104943,19561124,    0,    0
104943,19561125,    0,    0
104943,19561126,    0,    0
104943,19561127,   37,    0
104943,19561128,   60,    0
104943,19561129,    6,    0
104943,19561130,    0,    0
104943,19561201,    1,    0
104943,19561202,    2,    0
104943,19561203,    9,    0
104943,19561204,    3,    0
104943,19561205,    0,    0
104943,19561206,    0,    0
104943,19561207,    0,    0
104943,19561208,    1,    0
104943,19561209,    2,    0
104943,19561210,    5,    0
104943,19561211,   89,    0
104943,19561212,   58,    0
104943,19561213,    3,    0
104943,19561214,   37,    0
104943,19561215,   37,    0
104943,19561216,  103,    0
104943,19561217,    7,    0
104943,19561218,  211,    0
104943,19561219,   18,    0
104943,19561220,    1,    0
104943,19561221,    0,    0
104943,19561222,    0,    0
104943,19561223,   12,    0
104943,19561224,    8,    0
104943,19561225,   83,    0
104943,19561226,    9,    0
104943,19561227,   89,    0
104943,19561228,  127,    0
104943,19561229,  196,    0
104943,19561230,   57,    0
104943,19561231,    0,    0
104943,19570101,    6,    0
104943,19570102,   37,    0
104943,19570103,   21,    0
104943,19570104,    4,    0
104943,19570105,   49,    0
104943,19570106,    2,    0
104943,19570107,    3,    0
104943,19570108,    3,    0
104943,19570109,   11,    0
104943,19570110,    1,    0
104943,19570111,    0,    0
104943,19570112,   20,    0
104943,19570113,    3,    0
104943,19570114,    0,    0
104943,19570115,    0,    0
104943,19570116,    0,    0
104943,19570117,    0,    0
104943,19570118,    0,    0
104943,19570119,    0,    0
104943,19570120,    0,    0
104943,19570121,    0,    0
104943,19570122,    0,    0
104943,19570123,   24,    0
104943,19570124,   25,    0
104943,19570125,   44,    0
104943,19570126,   25,    0
104943,19570127,    2,    0
104943,19570128,    0,    0
104943,19570129,    3,    0
104943,19570130,    8,    0
104943,19570131,   29,    0
104943,19570201,   82,    0
104943,19570202,    0,    0
104943,19570203,    0,    0
104943,19570204,    3,    0
104943,19570205,  107,    0
104943,19570206,   25,    0
104943,19570207,  114,    0
104943,19570208,   73,    0
104943,19570209,  105,    0
104943,19570210,   10,    0
104943,19570211,  182,    0
104943,19570212,  181,    0
104943,19570213,   40,    0
104943,19570214,  128,    0
104943,19570215,    5,    0
104943,19570216,    8,    0
104943,19570217,    1,    0
104943,19570218,   31,    0
104943,19570219,  202,    0
104943,19570220,    8,    0
104943,19570221,   80,    0
104943,19570222,   11,    0
104943,19570223,  231,    0
104943,19570224,   32,    0
104943,19570225,    3,    0
104943,19570226,   30,    0
104943,19570227,    0,    0
104943,19570228,    0,    0
104943,19570301,    0,    0
