EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, CATUS (STAID: 767).
Blended and updated with sources: 104935 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104935,19310101,   40,    0
104935,19310102,   30,    0
104935,19310103,   20,    0
104935,19310104,    0,    0
104935,19310105,    0,    0
104935,19310106,    0,    0
104935,19310107,    0,    0
104935,19310108,    0,    0
104935,19310109,    0,    0
104935,19310110,    0,    0
104935,19310111,    0,    0
104935,19310112,    0,    0
104935,19310113,    0,    0
104935,19310114,    0,    0
104935,19310115,    0,    0
104935,19310116,   20,    0
104935,19310117,   60,    0
104935,19310118,    0,    0
104935,19310119,   20,    0
104935,19310120,    0,    0
104935,19310121,    0,    0
104935,19310122,    0,    0
104935,19310123,    0,    0
104935,19310124,  160,    0
104935,19310125,    0,    0
104935,19310126,   30,    0
104935,19310127,    0,    0
104935,19310128,    0,    0
104935,19310129,    0,    0
104935,19310130,   20,    0
104935,19310131,    0,    0
104935,19310201,   20,    0
104935,19310202,    0,    0
104935,19310203,    0,    0
104935,19310204,    0,    0
104935,19310205,    0,    0
104935,19310206,    0,    0
104935,19310207,   30,    0
104935,19310208,    0,    0
104935,19310209,    0,    0
104935,19310210,   40,    0
104935,19310211,    0,    0
104935,19310212,  100,    0
104935,19310213,    0,    0
104935,19310214,    0,    0
104935,19310215,    0,    0
104935,19310216,   20,    0
104935,19310217,    0,    0
104935,19310218,   30,    0
104935,19310219,    0,    0
104935,19310220,    0,    0
104935,19310221,   60,    0
104935,19310222,    0,    0
104935,19310223,    0,    0
104935,19310224,    0,    0
104935,19310225,    0,    0
104935,19310226,    0,    0
104935,19310227,    0,    0
104935,19310228,  100,    0
104935,19310301,    0,    0
104935,19310302,   70,    0
104935,19310303,   50,    0
104935,19310304,   60,    0
104935,19310305,    0,    0
104935,19310306,   20,    0
104935,19310307,   50,    0
104935,19310308,   80,    0
104935,19310309,   90,    0
104935,19310310,   40,    0
104935,19310311,    0,    0
104935,19310312,    0,    0
104935,19310313,    0,    0
104935,19310314,    0,    0
104935,19310315,    0,    0
104935,19310316,   30,    0
104935,19310317,    0,    0
104935,19310318,    0,    0
104935,19310319,    0,    0
104935,19310320,   10,    0
104935,19310321,   20,    0
104935,19310322,    0,    0
104935,19310323,    0,    0
104935,19310324,   40,    0
104935,19310325,    0,    0
104935,19310326,    0,    0
104935,19310327,    0,    0
104935,19310328,    0,    0
104935,19310329,    0,    0
104935,19310330,    0,    0
104935,19310331,    0,    0
104935,19310401,    0,    0
104935,19310402,  220,    0
104935,19310403,    0,    0
104935,19310404,    0,    0
104935,19310405,    0,    0
104935,19310406,    0,    0
104935,19310407,    0,    0
104935,19310408,    0,    0
104935,19310409,    0,    0
104935,19310410,    0,    0
104935,19310411,    0,    0
104935,19310412,    0,    0
104935,19310413,    0,    0
104935,19310414,    0,    0
104935,19310415,    0,    0
104935,19310416,    0,    0
104935,19310417,   20,    0
104935,19310418,   40,    0
104935,19310419,    0,    0
104935,19310420,   30,    0
104935,19310421,    0,    0
104935,19310422,    0,    0
104935,19310423,    0,    0
104935,19310424,   40,    0
104935,19310425,   60,    0
104935,19310426,   30,    0
104935,19310427,    0,    0
104935,19310428,    0,    0
104935,19310429,    0,    0
104935,19310430,    0,    0
104935,19310501,    0,    0
104935,19310502,    0,    0
104935,19310503,  410,    0
104935,19310504,   40,    0
104935,19310505,    0,    0
104935,19310506,    0,    0
104935,19310507,    0,    0
104935,19310508,    0,    0
104935,19310509,    0,    0
104935,19310510,    0,    0
104935,19310511,    0,    0
104935,19310512,    0,    0
104935,19310513,    0,    0
104935,19310514,    0,    0
104935,19310515,    0,    0
104935,19310516,    0,    0
104935,19310517,    0,    0
104935,19310518,  180,    0
104935,19310519,    0,    0
104935,19310520,    0,    0
104935,19310521,    0,    0
104935,19310522,    0,    0
104935,19310523,    0,    0
104935,19310524,    0,    0
104935,19310525,    0,    0
104935,19310526,    0,    0
104935,19310527,    0,    0
104935,19310528,    0,    0
104935,19310529,    0,    0
104935,19310530,   60,    0
104935,19310531,    0,    0
104935,19310601,   40,    0
104935,19310602,   30,    0
104935,19310603,    0,    0
104935,19310604,    0,    0
104935,19310605,    0,    0
104935,19310606,    0,    0
104935,19310607,    0,    0
104935,19310608,    0,    0
104935,19310609,    0,    0
104935,19310610,    0,    0
104935,19310611,    0,    0
104935,19310612,    0,    0
104935,19310613,    0,    0
104935,19310614,    0,    0
104935,19310615,    0,    0
104935,19310616,    0,    0
104935,19310617,    0,    0
104935,19310618,    0,    0
104935,19310619,    0,    0
104935,19310620,   50,    0
104935,19310621,    0,    0
104935,19310622,    0,    0
104935,19310623,    0,    0
104935,19310624,   80,    0
104935,19310625,   40,    0
104935,19310626,    0,    0
104935,19310627,    0,    0
104935,19310628,    0,    0
104935,19310629,    0,    0
104935,19310630,    0,    0
104935,19310701,    0,    0
104935,19310702,   40,    0
104935,19310703,    0,    0
104935,19310704,    0,    0
104935,19310705,    0,    0
104935,19310706,    0,    0
104935,19310707,    0,    0
104935,19310708,   30,    0
104935,19310709,   20,    0
104935,19310710,    0,    0
104935,19310711,    0,    0
104935,19310712,    0,    0
104935,19310713,    0,    0
104935,19310714,    0,    0
104935,19310715,   60,    0
104935,19310716,    0,    0
104935,19310717,    0,    0
104935,19310718,    0,    0
104935,19310719,    0,    0
104935,19310720,   20,    0
104935,19310721,    0,    0
104935,19310722,    0,    0
104935,19310723,    0,    0
104935,19310724,    0,    0
104935,19310725,   20,    0
104935,19310726,    0,    0
104935,19310727,    0,    0
104935,19310728,    0,    0
104935,19310729,    0,    0
104935,19310730,    0,    0
104935,19310731,    0,    0
104935,19310801,  160,    0
104935,19310802,    0,    0
104935,19310803,  100,    0
104935,19310804,    0,    0
104935,19310805,   50,    0
104935,19310806,    0,    0
104935,19310807,    0,    0
104935,19310808,   40,    0
104935,19310809,   60,    0
104935,19310810,    0,    0
104935,19310811,    0,    0
104935,19310812,    0,    0
104935,19310813,    0,    0
104935,19310814,    0,    0
104935,19310815,   70,    0
104935,19310816,   40,    0
104935,19310817,    0,    0
104935,19310818,    0,    0
104935,19310819,   50,    0
104935,19310820,    0,    0
104935,19310821,   20,    0
104935,19310822,   20,    0
104935,19310823,    0,    0
104935,19310824,   90,    0
104935,19310825,    0,    0
104935,19310826,    0,    0
104935,19310827,    0,    0
104935,19310828,    0,    0
104935,19310829,    0,    0
