EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, CHATILLON-COLIGNY (STAID: 770).
Blended and updated with sources: 104934 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104934,19390501,-9999,    9
104934,19390502,-9999,    9
104934,19390503,-9999,    9
104934,19390504,-9999,    9
104934,19390505,-9999,    9
104934,19390506,-9999,    9
104934,19390507,-9999,    9
104934,19390508,-9999,    9
104934,19390509,-9999,    9
104934,19390510,-9999,    9
104934,19390511,-9999,    9
104934,19390512,-9999,    9
104934,19390513,-9999,    9
104934,19390514,-9999,    9
104934,19390515,-9999,    9
104934,19390516,-9999,    9
104934,19390517,-9999,    9
104934,19390518,-9999,    9
104934,19390519,-9999,    9
104934,19390520,-9999,    9
104934,19390521,-9999,    9
104934,19390522,-9999,    9
104934,19390523,-9999,    9
104934,19390524,-9999,    9
104934,19390525,-9999,    9
104934,19390526,-9999,    9
104934,19390527,-9999,    9
104934,19390528,-9999,    9
104934,19390529,-9999,    9
104934,19390530,-9999,    9
104934,19390531,-9999,    9
104934,19390601,    0,    0
104934,19390602,    0,    0
104934,19390603,    0,    0
104934,19390604,    0,    0
104934,19390605,    0,    0
104934,19390606,    0,    0
104934,19390607,    0,    0
104934,19390608,    0,    0
104934,19390609,    0,    0
104934,19390610,    0,    0
104934,19390611,   25,    0
104934,19390612,   20,    0
104934,19390613,    0,    0
104934,19390614,    0,    0
104934,19390615,    0,    0
104934,19390616,   12,    0
104934,19390617,    0,    0
104934,19390618,    0,    0
104934,19390619,    0,    0
104934,19390620,    0,    0
104934,19390621,    0,    0
104934,19390622,    8,    0
104934,19390623,    0,    0
104934,19390624,  437,    0
104934,19390625,   90,    0
104934,19390626,   15,    0
104934,19390627,    0,    0
104934,19390628,   82,    0
104934,19390629,   15,    0
104934,19390630,   35,    0
104934,19390701,  172,    0
104934,19390702,    0,    0
104934,19390703,    0,    0
104934,19390704,    0,    0
104934,19390705,   57,    0
104934,19390706,    0,    0
104934,19390707,    0,    0
104934,19390708,    0,    0
104934,19390709,   67,    0
104934,19390710,    0,    0
104934,19390711,    0,    0
104934,19390712,    0,    0
104934,19390713,    4,    0
104934,19390714,    3,    0
104934,19390715,    0,    0
104934,19390716,   66,    0
104934,19390717,    2,    0
