EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ESPOEY (STAID: 773).
Blended and updated with sources: 104957 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104957,19340101,    0,    0
104957,19340102,    4,    0
104957,19340103,    0,    0
104957,19340104,    0,    0
104957,19340105,   24,    0
104957,19340106,    0,    0
104957,19340107,    0,    0
104957,19340108,    0,    0
104957,19340109,   14,    0
104957,19340110,    0,    0
104957,19340111,    4,    0
104957,19340112,   70,    0
104957,19340113,    3,    0
104957,19340114,   24,    0
104957,19340115,  124,    0
104957,19340116,   44,    0
104957,19340117,    2,    0
104957,19340118,    9,    0
104957,19340119,  201,    0
104957,19340120,   42,    0
104957,19340121,    0,    0
104957,19340122,    0,    0
104957,19340123,    0,    0
104957,19340124,    0,    0
104957,19340125,    0,    0
104957,19340126,    0,    0
104957,19340127,    0,    0
104957,19340128,    0,    0
104957,19340129,    0,    0
104957,19340130,    0,    0
104957,19340131,    0,    0
104957,19340201,  131,    0
104957,19340202,    2,    0
104957,19340203,    0,    0
104957,19340204,    0,    0
104957,19340205,    0,    0
104957,19340206,    0,    0
104957,19340207,    0,    0
104957,19340208,    0,    0
104957,19340209,    0,    0
104957,19340210,    0,    0
104957,19340211,    0,    0
104957,19340212,    0,    0
104957,19340213,    0,    0
104957,19340214,    0,    0
104957,19340215,    0,    0
104957,19340216,    0,    0
104957,19340217,    0,    0
104957,19340218,    0,    0
104957,19340219,    0,    0
104957,19340220,    0,    0
104957,19340221,    0,    0
104957,19340222,    0,    0
104957,19340223,    0,    0
104957,19340224,    0,    0
104957,19340225,    0,    0
104957,19340226,  226,    0
104957,19340227,    0,    0
104957,19340228,    0,    0
104957,19340301,    0,    0
104957,19340302,    0,    0
104957,19340303,  194,    0
104957,19340304,    0,    0
104957,19340305,    0,    0
104957,19340306,    0,    0
104957,19340307,   14,    0
