EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, FAVERGES-DE-LA-TOUR (STAID: 774).
Blended and updated with sources: 104930 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104930,19480101,   28,    0
104930,19480102,    0,    0
104930,19480103,   15,    0
104930,19480104,    0,    0
104930,19480105,   83,    0
104930,19480106,   92,    0
104930,19480107,   28,    0
104930,19480108,    0,    0
104930,19480109,   41,    0
104930,19480110,  116,    0
104930,19480111,    0,    0
104930,19480112,    0,    0
104930,19480113,    0,    0
104930,19480114,   92,    0
104930,19480115,    0,    0
104930,19480116,    0,    0
104930,19480117,   85,    0
104930,19480118,    0,    0
104930,19480119,    0,    0
104930,19480120,   18,    0
104930,19480121,    0,    0
104930,19480122,  445,    0
104930,19480123,  126,    0
104930,19480124,    0,    0
104930,19480125,  231,    0
104930,19480126,  245,    0
104930,19480127,    0,    0
104930,19480128,  182,    0
104930,19480129,    0,    0
104930,19480130,    0,    0
104930,19480131,   70,    0
104930,19480201,    0,    0
104930,19480202,   25,    0
104930,19480203,    0,    0
104930,19480204,    0,    0
104930,19480205,   38,    0
104930,19480206,    0,    0
104930,19480207,   12,    0
104930,19480208,    0,    0
104930,19480209,   36,    0
104930,19480210,    0,    0
104930,19480211,    0,    0
104930,19480212,    0,    0
104930,19480213,    0,    0
104930,19480214,    0,    0
104930,19480215,    0,    0
104930,19480216,    0,    0
104930,19480217,    0,    0
104930,19480218,    7,    0
104930,19480219,    0,    0
104930,19480220,    0,    0
104930,19480221,   65,    0
104930,19480222,  113,    0
104930,19480223,    0,    0
104930,19480224,    0,    0
104930,19480225,    0,    0
104930,19480226,    0,    0
104930,19480227,    0,    0
104930,19480228,    0,    0
104930,19480229,    0,    0
104930,19480301,    0,    0
104930,19480302,    0,    0
104930,19480303,    0,    0
104930,19480304,    0,    0
104930,19480305,    0,    0
104930,19480306,    0,    0
104930,19480307,    0,    0
104930,19480308,    0,    0
104930,19480309,    0,    0
104930,19480310,    0,    0
104930,19480311,    0,    0
104930,19480312,    0,    0
104930,19480313,    0,    0
104930,19480314,    0,    0
104930,19480315,   22,    0
104930,19480316,    0,    0
104930,19480317,    0,    0
104930,19480318,    0,    0
104930,19480319,    0,    0
104930,19480320,    0,    0
104930,19480321,    0,    0
104930,19480322,    0,    0
104930,19480323,    0,    0
104930,19480324,    0,    0
104930,19480325,    0,    0
104930,19480326,    0,    0
104930,19480327,    0,    0
104930,19480328,    0,    0
104930,19480329,  215,    0
104930,19480330,    0,    0
104930,19480331,  275,    0
104930,19480401,    0,    0
104930,19480402,  255,    0
104930,19480403,    0,    0
104930,19480404,  142,    0
104930,19480405,    0,    0
104930,19480406,    0,    0
104930,19480407,   52,    0
104930,19480408,    0,    0
104930,19480409,    0,    0
104930,19480410,    0,    0
104930,19480411,    0,    0
104930,19480412,    0,    0
104930,19480413,    0,    0
104930,19480414,    0,    0
104930,19480415,    0,    0
104930,19480416,   15,    0
104930,19480417,    0,    0
104930,19480418,    0,    0
104930,19480419,    0,    0
104930,19480420,  225,    0
104930,19480421,  288,    0
104930,19480422,  134,    0
104930,19480423,    0,    0
104930,19480424,    0,    0
104930,19480425,    0,    0
104930,19480426,    0,    0
104930,19480427,    0,    0
104930,19480428,   62,    0
104930,19480429,    0,    0
104930,19480430,    0,    0
104930,19480501,  245,    0
104930,19480502,    0,    0
104930,19480503,    0,    0
104930,19480504,    4,    0
104930,19480505,    0,    0
104930,19480506,    0,    0
104930,19480507,    0,    0
104930,19480508,   49,    0
104930,19480509,   82,    0
104930,19480510,    0,    0
104930,19480511,  155,    0
104930,19480512,   28,    0
104930,19480513,    5,    0
104930,19480514,    0,    0
104930,19480515,    0,    0
104930,19480516,   55,    0
104930,19480517,    0,    0
104930,19480518,    0,    0
104930,19480519,   42,    0
104930,19480520,    0,    0
104930,19480521,    0,    0
104930,19480522,    0,    0
104930,19480523,   51,    0
104930,19480524,    0,    0
104930,19480525,  139,    0
104930,19480526,   25,    0
104930,19480527,   62,    0
104930,19480528,    0,    0
104930,19480529,    0,    0
104930,19480530,    0,    0
104930,19480531,  175,    0
104930,19480601,   31,    0
104930,19480602,  172,    0
104930,19480603,    0,    0
104930,19480604,    0,    0
104930,19480605,    0,    0
104930,19480606,    0,    0
104930,19480607,    0,    0
104930,19480608,    0,    0
104930,19480609,   36,    0
104930,19480610,   46,    0
104930,19480611,  245,    0
104930,19480612,   72,    0
104930,19480613,    0,    0
104930,19480614,  115,    0
104930,19480615,    0,    0
104930,19480616,   46,    0
104930,19480617,  185,    0
104930,19480618,   75,    0
104930,19480619,  181,    0
104930,19480620,    0,    0
104930,19480621,   89,    0
104930,19480622,    0,    0
104930,19480623,    0,    0
104930,19480624,    0,    0
104930,19480625,    0,    0
104930,19480626,    7,    0
104930,19480627,   32,    0
104930,19480628,   51,    0
104930,19480629,    8,    0
104930,19480630,   91,    0
104930,19480701,    0,    0
104930,19480702,    0,    0
104930,19480703,    0,    0
104930,19480704,    0,    0
104930,19480705,   41,    0
104930,19480706,    0,    0
104930,19480707,   12,    0
104930,19480708,    0,    0
104930,19480709,    0,    0
104930,19480710,    0,    0
104930,19480711,   13,    0
104930,19480712,    0,    0
104930,19480713,  124,    0
104930,19480714,   82,    0
104930,19480715,   64,    0
104930,19480716,    0,    0
104930,19480717,    0,    0
104930,19480718,    0,    0
104930,19480719,   36,    0
104930,19480720,    0,    0
104930,19480721,    0,    0
104930,19480722,    0,    0
104930,19480723,    0,    0
104930,19480724,    0,    0
104930,19480725,    0,    0
104930,19480726,    0,    0
104930,19480727,   38,    0
104930,19480728,    0,    0
104930,19480729,    0,    0
104930,19480730,    0,    0
104930,19480731,    5,    0
104930,19480801,  128,    0
104930,19480802,    3,    0
104930,19480803,    0,    0
104930,19480804,  129,    0
104930,19480805,   93,    0
104930,19480806,    0,    0
104930,19480807,  168,    0
104930,19480808,    0,    0
104930,19480809,   56,    0
104930,19480810,   22,    0
104930,19480811,  148,    0
104930,19480812,  235,    0
104930,19480813,    0,    0
104930,19480814,    0,    0
104930,19480815,    0,    0
104930,19480816,    0,    0
104930,19480817,  104,    0
104930,19480818,   45,    0
104930,19480819,    0,    0
104930,19480820,    0,    0
104930,19480821,    0,    0
104930,19480822,    0,    0
104930,19480823,    0,    0
104930,19480824,    0,    0
104930,19480825,    0,    0
104930,19480826,    8,    0
104930,19480827,    0,    0
104930,19480828,    0,    0
104930,19480829,    0,    0
104930,19480830,    0,    0
104930,19480831,    0,    0
104930,19480901,    0,    0
104930,19480902,  635,    0
104930,19480903,  375,    0
104930,19480904,   65,    0
104930,19480905,   12,    0
104930,19480906,    0,    0
104930,19480907,    0,    0
104930,19480908,    0,    0
104930,19480909,    0,    0
104930,19480910,  378,    0
104930,19480911,   48,    0
104930,19480912,   18,    0
104930,19480913,    0,    0
104930,19480914,    0,    0
104930,19480915,    0,    0
104930,19480916,    0,    0
104930,19480917,    0,    0
104930,19480918,    0,    0
104930,19480919,    0,    0
104930,19480920,    0,    0
104930,19480921,    0,    0
104930,19480922,    0,    0
104930,19480923,    0,    0
104930,19480924,    0,    0
104930,19480925,    0,    0
104930,19480926,    0,    0
104930,19480927,    0,    0
104930,19480928,    0,    0
104930,19480929,    0,    0
104930,19480930,    0,    0
104930,19481001,    0,    0
104930,19481002,    0,    0
104930,19481003,    0,    0
104930,19481004,   12,    0
104930,19481005,    0,    0
104930,19481006,    0,    0
104930,19481007,    0,    0
104930,19481008,    0,    0
104930,19481009,    0,    0
104930,19481010,    0,    0
104930,19481011,    0,    0
104930,19481012,    0,    0
104930,19481013,   48,    0
104930,19481014,    0,    0
104930,19481015,   32,    0
104930,19481016,    0,    0
104930,19481017,   38,    0
104930,19481018,    0,    0
104930,19481019,    0,    0
104930,19481020,    0,    0
104930,19481021,    0,    0
104930,19481022,    0,    0
104930,19481023,    0,    0
104930,19481024,    0,    0
104930,19481025,   15,    0
104930,19481026,  252,    0
104930,19481027,    7,    0
104930,19481028,    0,    0
104930,19481029,    0,    0
104930,19481030,    0,    0
104930,19481031,    0,    0
