EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, LA SOUTERRAINE (STAID: 776).
Blended and updated with sources: 104902 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104902,19420101,    0,    0
104902,19420102,    0,    0
104902,19420103,    0,    0
104902,19420104,    0,    0
104902,19420105,   97,    0
104902,19420106,    0,    0
104902,19420107,    0,    0
104902,19420108,    0,    0
104902,19420109,    0,    0
104902,19420110,   12,    0
104902,19420111,   17,    0
104902,19420112,    0,    0
104902,19420113,    0,    0
104902,19420114,    0,    0
104902,19420115,   22,    0
104902,19420116,   45,    0
104902,19420117,    0,    0
104902,19420118,    0,    0
104902,19420119,    0,    0
104902,19420120,   57,    0
104902,19420121,    0,    0
104902,19420122,    0,    0
104902,19420123,   64,    0
104902,19420124,   92,    0
104902,19420125,   69,    0
104902,19420126,    0,    0
104902,19420127,   56,    0
104902,19420128,    0,    0
104902,19420129,   52,    0
104902,19420130,   44,    0
104902,19420131,    0,    0
104902,19420201,  215,    0
104902,19420202,    0,    0
104902,19420203,  117,    0
104902,19420204,   89,    0
104902,19420205,   44,    0
104902,19420206,   32,    0
104902,19420207,    0,    0
104902,19420208,    0,    0
104902,19420209,    0,    0
104902,19420210,    0,    0
104902,19420211,    8,    0
104902,19420212,    0,    0
104902,19420213,    0,    0
104902,19420214,    0,    0
104902,19420215,    0,    0
104902,19420216,   14,    0
104902,19420217,   24,    0
104902,19420218,    0,    0
104902,19420219,    0,    0
104902,19420220,    0,    0
104902,19420221,    0,    0
104902,19420222,   54,    0
104902,19420223,   24,    0
104902,19420224,   18,    0
104902,19420225,    0,    0
104902,19420226,   34,    0
104902,19420227,    0,    0
104902,19420228,    0,    0
104902,19420301,    0,    0
104902,19420302,    0,    0
104902,19420303,    0,    0
104902,19420304,   75,    0
104902,19420305,  134,    0
104902,19420306,  227,    0
104902,19420307,   79,    0
104902,19420308,    0,    0
104902,19420309,    0,    0
104902,19420310,    0,    0
104902,19420311,   15,    0
104902,19420312,    0,    0
104902,19420313,    0,    0
104902,19420314,    0,    0
104902,19420315,   52,    0
104902,19420316,   77,    0
104902,19420317,   74,    0
104902,19420318,   22,    0
104902,19420319,    0,    0
104902,19420320,    0,    0
104902,19420321,    0,    0
104902,19420322,    0,    0
104902,19420323,    0,    0
104902,19420324,    0,    0
104902,19420325,    0,    0
104902,19420326,    0,    0
104902,19420327,    0,    0
104902,19420328,    0,    0
104902,19420329,    0,    0
104902,19420330,    0,    0
104902,19420331,    0,    0
104902,19420401,    0,    0
104902,19420402,    0,    0
104902,19420403,    0,    0
104902,19420404,   52,    0
104902,19420405,  116,    0
104902,19420406,    0,    0
104902,19420407,    0,    0
104902,19420408,    0,    0
104902,19420409,    0,    0
104902,19420410,    0,    0
104902,19420411,    0,    0
104902,19420412,    0,    0
104902,19420413,    0,    0
104902,19420414,    0,    0
104902,19420415,    0,    0
104902,19420416,    0,    0
104902,19420417,    0,    0
104902,19420418,   34,    0
104902,19420419,   29,    0
104902,19420420,    0,    0
104902,19420421,    0,    0
104902,19420422,    0,    0
104902,19420423,   16,    0
104902,19420424,    0,    0
104902,19420425,    0,    0
104902,19420426,   39,    0
104902,19420427,  189,    0
104902,19420428,    0,    0
104902,19420429,    0,    0
104902,19420430,    0,    0
104902,19420501,    0,    0
104902,19420502,   14,    0
104902,19420503,    0,    0
104902,19420504,    0,    0
104902,19420505,    0,    0
104902,19420506,    0,    0
104902,19420507,    0,    0
104902,19420508,   44,    0
104902,19420509,  115,    0
104902,19420510,   76,    0
104902,19420511,   39,    0
104902,19420512,   64,    0
104902,19420513,    0,    0
104902,19420514,    0,    0
104902,19420515,   46,    0
104902,19420516,    0,    0
104902,19420517,    0,    0
104902,19420518,    0,    0
104902,19420519,    0,    0
104902,19420520,    0,    0
104902,19420521,    0,    0
104902,19420522,   24,    0
104902,19420523,    0,    0
104902,19420524,    0,    0
104902,19420525,   32,    0
104902,19420526,    0,    0
104902,19420527,    0,    0
104902,19420528,    0,    0
104902,19420529,   37,    0
104902,19420530,   79,    0
104902,19420531,    0,    0
104902,19420601,    0,    0
104902,19420602,    0,    0
104902,19420603,    0,    0
104902,19420604,    0,    0
104902,19420605,    0,    0
104902,19420606,    0,    0
104902,19420607,    0,    0
104902,19420608,   68,    0
104902,19420609,   35,    0
104902,19420610,   67,    0
104902,19420611,  112,    0
104902,19420612,    0,    0
104902,19420613,    0,    0
104902,19420614,    0,    0
104902,19420615,   10,    0
104902,19420616,    0,    0
104902,19420617,    0,    0
104902,19420618,    0,    0
104902,19420619,    0,    0
104902,19420620,    0,    0
104902,19420621,    0,    0
104902,19420622,   25,    0
104902,19420623,    0,    0
104902,19420624,    0,    0
104902,19420625,    0,    0
104902,19420626,    0,    0
104902,19420627,    0,    0
104902,19420628,    0,    0
104902,19420629,    0,    0
104902,19420630,    0,    0
104902,19420701,    0,    0
104902,19420702,    0,    0
104902,19420703,    0,    0
104902,19420704,  224,    0
104902,19420705,    0,    0
104902,19420706,    0,    0
104902,19420707,    0,    0
104902,19420708,    0,    0
104902,19420709,    0,    0
104902,19420710,    0,    0
104902,19420711,   59,    0
104902,19420712,    0,    0
104902,19420713,   12,    0
104902,19420714,    0,    0
104902,19420715,    0,    0
104902,19420716,    0,    0
104902,19420717,    0,    0
104902,19420718,   77,    0
104902,19420719,    0,    0
104902,19420720,    0,    0
104902,19420721,    0,    0
104902,19420722,    0,    0
104902,19420723,    0,    0
104902,19420724,    0,    0
104902,19420725,    0,    0
104902,19420726,    0,    0
104902,19420727,    0,    0
104902,19420728,    0,    0
104902,19420729,    0,    0
104902,19420730,    0,    0
104902,19420731,    0,    0
104902,19420801,-9999,    9
104902,19420802,-9999,    9
104902,19420803,-9999,    9
104902,19420804,-9999,    9
104902,19420805,-9999,    9
104902,19420806,-9999,    9
104902,19420807,-9999,    9
104902,19420808,-9999,    9
104902,19420809,-9999,    9
104902,19420810,-9999,    9
104902,19420811,-9999,    9
104902,19420812,-9999,    9
104902,19420813,-9999,    9
104902,19420814,-9999,    9
104902,19420815,-9999,    9
104902,19420816,-9999,    9
104902,19420817,-9999,    9
104902,19420818,-9999,    9
104902,19420819,-9999,    9
104902,19420820,-9999,    9
104902,19420821,-9999,    9
104902,19420822,-9999,    9
104902,19420823,-9999,    9
104902,19420824,-9999,    9
104902,19420825,-9999,    9
104902,19420826,-9999,    9
104902,19420827,-9999,    9
104902,19420828,-9999,    9
104902,19420829,-9999,    9
104902,19420830,-9999,    9
104902,19420831,-9999,    9
104902,19420901,-9999,    9
104902,19420902,-9999,    9
104902,19420903,-9999,    9
104902,19420904,-9999,    9
104902,19420905,-9999,    9
104902,19420906,-9999,    9
104902,19420907,-9999,    9
104902,19420908,-9999,    9
104902,19420909,-9999,    9
104902,19420910,-9999,    9
104902,19420911,-9999,    9
104902,19420912,-9999,    9
104902,19420913,-9999,    9
104902,19420914,-9999,    9
104902,19420915,-9999,    9
104902,19420916,-9999,    9
104902,19420917,-9999,    9
104902,19420918,-9999,    9
104902,19420919,-9999,    9
104902,19420920,-9999,    9
104902,19420921,-9999,    9
104902,19420922,-9999,    9
104902,19420923,-9999,    9
104902,19420924,-9999,    9
104902,19420925,-9999,    9
104902,19420926,-9999,    9
104902,19420927,-9999,    9
104902,19420928,-9999,    9
104902,19420929,-9999,    9
104902,19420930,-9999,    9
104902,19421001,-9999,    9
104902,19421002,-9999,    9
104902,19421003,-9999,    9
104902,19421004,-9999,    9
104902,19421005,-9999,    9
104902,19421006,-9999,    9
104902,19421007,-9999,    9
104902,19421008,-9999,    9
104902,19421009,-9999,    9
104902,19421010,-9999,    9
104902,19421011,-9999,    9
104902,19421012,-9999,    9
104902,19421013,-9999,    9
104902,19421014,-9999,    9
104902,19421015,-9999,    9
104902,19421016,-9999,    9
104902,19421017,-9999,    9
104902,19421018,-9999,    9
104902,19421019,-9999,    9
104902,19421020,-9999,    9
104902,19421021,-9999,    9
104902,19421022,-9999,    9
104902,19421023,-9999,    9
104902,19421024,-9999,    9
104902,19421025,-9999,    9
104902,19421026,-9999,    9
104902,19421027,-9999,    9
104902,19421028,-9999,    9
104902,19421029,-9999,    9
104902,19421030,-9999,    9
104902,19421031,-9999,    9
104902,19421101,-9999,    9
104902,19421102,-9999,    9
104902,19421103,-9999,    9
104902,19421104,-9999,    9
104902,19421105,-9999,    9
104902,19421106,-9999,    9
104902,19421107,-9999,    9
104902,19421108,-9999,    9
104902,19421109,-9999,    9
104902,19421110,-9999,    9
104902,19421111,-9999,    9
104902,19421112,-9999,    9
104902,19421113,-9999,    9
104902,19421114,-9999,    9
104902,19421115,-9999,    9
104902,19421116,-9999,    9
104902,19421117,-9999,    9
104902,19421118,-9999,    9
104902,19421119,-9999,    9
104902,19421120,-9999,    9
104902,19421121,-9999,    9
104902,19421122,-9999,    9
104902,19421123,-9999,    9
104902,19421124,-9999,    9
104902,19421125,-9999,    9
104902,19421126,-9999,    9
104902,19421127,-9999,    9
104902,19421128,-9999,    9
104902,19421129,-9999,    9
104902,19421130,-9999,    9
104902,19421201,-9999,    9
104902,19421202,-9999,    9
104902,19421203,-9999,    9
104902,19421204,-9999,    9
104902,19421205,-9999,    9
104902,19421206,-9999,    9
104902,19421207,-9999,    9
104902,19421208,-9999,    9
104902,19421209,-9999,    9
104902,19421210,-9999,    9
104902,19421211,-9999,    9
104902,19421212,-9999,    9
104902,19421213,-9999,    9
104902,19421214,-9999,    9
104902,19421215,-9999,    9
104902,19421216,-9999,    9
104902,19421217,-9999,    9
104902,19421218,-9999,    9
104902,19421219,-9999,    9
104902,19421220,-9999,    9
104902,19421221,-9999,    9
104902,19421222,-9999,    9
104902,19421223,-9999,    9
104902,19421224,-9999,    9
104902,19421225,-9999,    9
104902,19421226,-9999,    9
104902,19421227,-9999,    9
104902,19421228,-9999,    9
104902,19421229,-9999,    9
104902,19421230,-9999,    9
104902,19421231,-9999,    9
104902,19430101,-9999,    9
104902,19430102,-9999,    9
104902,19430103,-9999,    9
104902,19430104,-9999,    9
104902,19430105,-9999,    9
104902,19430106,-9999,    9
104902,19430107,-9999,    9
104902,19430108,-9999,    9
104902,19430109,-9999,    9
104902,19430110,-9999,    9
104902,19430111,-9999,    9
104902,19430112,-9999,    9
104902,19430113,-9999,    9
104902,19430114,-9999,    9
104902,19430115,-9999,    9
104902,19430116,-9999,    9
104902,19430117,-9999,    9
104902,19430118,-9999,    9
104902,19430119,-9999,    9
104902,19430120,-9999,    9
104902,19430121,-9999,    9
104902,19430122,-9999,    9
104902,19430123,-9999,    9
104902,19430124,-9999,    9
104902,19430125,-9999,    9
104902,19430126,-9999,    9
104902,19430127,-9999,    9
104902,19430128,-9999,    9
104902,19430129,-9999,    9
104902,19430130,-9999,    9
104902,19430131,-9999,    9
104902,19430201,-9999,    9
104902,19430202,-9999,    9
104902,19430203,-9999,    9
104902,19430204,-9999,    9
104902,19430205,-9999,    9
104902,19430206,-9999,    9
104902,19430207,-9999,    9
104902,19430208,-9999,    9
104902,19430209,-9999,    9
104902,19430210,-9999,    9
104902,19430211,-9999,    9
104902,19430212,-9999,    9
104902,19430213,-9999,    9
104902,19430214,-9999,    9
104902,19430215,-9999,    9
104902,19430216,-9999,    9
104902,19430217,-9999,    9
104902,19430218,-9999,    9
104902,19430219,-9999,    9
104902,19430220,-9999,    9
104902,19430221,-9999,    9
104902,19430222,-9999,    9
104902,19430223,-9999,    9
104902,19430224,-9999,    9
104902,19430225,-9999,    9
104902,19430226,-9999,    9
104902,19430227,-9999,    9
104902,19430228,-9999,    9
104902,19430301,-9999,    9
104902,19430302,-9999,    9
104902,19430303,-9999,    9
104902,19430304,-9999,    9
104902,19430305,-9999,    9
104902,19430306,-9999,    9
104902,19430307,-9999,    9
104902,19430308,-9999,    9
104902,19430309,-9999,    9
104902,19430310,-9999,    9
104902,19430311,-9999,    9
104902,19430312,-9999,    9
104902,19430313,-9999,    9
104902,19430314,-9999,    9
104902,19430315,-9999,    9
104902,19430316,-9999,    9
104902,19430317,-9999,    9
104902,19430318,-9999,    9
104902,19430319,-9999,    9
104902,19430320,-9999,    9
104902,19430321,-9999,    9
104902,19430322,-9999,    9
104902,19430323,-9999,    9
104902,19430324,-9999,    9
104902,19430325,-9999,    9
104902,19430326,-9999,    9
104902,19430327,-9999,    9
104902,19430328,-9999,    9
104902,19430329,-9999,    9
104902,19430330,-9999,    9
