EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, ODEREN (STAID: 790).
Blended and updated with sources: 104963 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104963,19410101,  528,    0
104963,19410102,  117,    0
104963,19410103,    1,    0
104963,19410104,    0,    0
104963,19410105,   52,    0
104963,19410106,    7,    0
104963,19410107,    0,    0
104963,19410108,    0,    0
104963,19410109,    0,    0
104963,19410110,    0,    0
104963,19410111,    0,    0
104963,19410112,    0,    0
104963,19410113,    0,    0
104963,19410114,    0,    0
104963,19410115,    0,    0
104963,19410116,   48,    0
104963,19410117,    0,    0
104963,19410118,  404,    0
104963,19410119,  468,    0
104963,19410120,   65,    0
104963,19410121,   35,    0
104963,19410122,   47,    0
104963,19410123,  324,    0
104963,19410124,  480,    0
104963,19410125,  388,    0
104963,19410126,    0,    0
104963,19410127,    0,    0
104963,19410128,    0,    0
104963,19410129,  102,    0
104963,19410130,  140,    0
104963,19410131,  132,    0
104963,19410201,   77,    0
104963,19410202,  118,    0
104963,19410203,   45,    0
104963,19410204,    0,    0
104963,19410205,    0,    0
104963,19410206,    0,    0
104963,19410207,   84,    0
104963,19410208,   63,    0
104963,19410209,   10,    0
104963,19410210,    0,    0
104963,19410211,    0,    0
104963,19410212,   55,    0
104963,19410213,  112,    0
104963,19410214,   21,    0
104963,19410215,   35,    0
104963,19410216,   41,    0
104963,19410217,    0,    0
104963,19410218,  193,    0
104963,19410219,   56,    0
104963,19410220,    0,    0
104963,19410221,  111,    0
104963,19410222,  168,    0
104963,19410223,  160,    0
104963,19410224,  131,    0
104963,19410225,    2,    0
104963,19410226,    0,    0
104963,19410227,   35,    0
104963,19410228,-9999,    9
104963,19410301,-9999,    9
104963,19410302,-9999,    9
104963,19410303,-9999,    9
104963,19410304,-9999,    9
104963,19410305,-9999,    9
104963,19410306,-9999,    9
104963,19410307,-9999,    9
104963,19410308,-9999,    9
104963,19410309,-9999,    9
104963,19410310,-9999,    9
104963,19410311,-9999,    9
104963,19410312,-9999,    9
104963,19410313,-9999,    9
104963,19410314,-9999,    9
104963,19410315,-9999,    9
104963,19410316,-9999,    9
104963,19410317,-9999,    9
104963,19410318,-9999,    9
104963,19410319,-9999,    9
104963,19410320,-9999,    9
104963,19410321,-9999,    9
104963,19410322,-9999,    9
104963,19410323,-9999,    9
104963,19410324,-9999,    9
104963,19410325,-9999,    9
104963,19410326,-9999,    9
104963,19410327,-9999,    9
104963,19410328,-9999,    9
104963,19410329,-9999,    9
104963,19410330,-9999,    9
104963,19410331,-9999,    9
104963,19410401,-9999,    9
104963,19410402,-9999,    9
104963,19410403,-9999,    9
104963,19410404,-9999,    9
104963,19410405,-9999,    9
104963,19410406,-9999,    9
104963,19410407,-9999,    9
104963,19410408,-9999,    9
104963,19410409,-9999,    9
104963,19410410,-9999,    9
104963,19410411,-9999,    9
104963,19410412,-9999,    9
104963,19410413,-9999,    9
104963,19410414,-9999,    9
104963,19410415,-9999,    9
104963,19410416,-9999,    9
104963,19410417,-9999,    9
104963,19410418,-9999,    9
104963,19410419,-9999,    9
104963,19410420,-9999,    9
104963,19410421,-9999,    9
104963,19410422,-9999,    9
104963,19410423,-9999,    9
104963,19410424,-9999,    9
104963,19410425,-9999,    9
104963,19410426,-9999,    9
104963,19410427,-9999,    9
104963,19410428,-9999,    9
104963,19410429,-9999,    9
104963,19410430,-9999,    9
104963,19410501,-9999,    9
104963,19410502,-9999,    9
104963,19410503,-9999,    9
104963,19410504,-9999,    9
104963,19410505,-9999,    9
104963,19410506,-9999,    9
104963,19410507,-9999,    9
104963,19410508,-9999,    9
104963,19410509,-9999,    9
104963,19410510,-9999,    9
104963,19410511,-9999,    9
104963,19410512,-9999,    9
104963,19410513,-9999,    9
104963,19410514,-9999,    9
104963,19410515,-9999,    9
104963,19410516,-9999,    9
104963,19410517,-9999,    9
104963,19410518,-9999,    9
104963,19410519,-9999,    9
104963,19410520,-9999,    9
104963,19410521,-9999,    9
104963,19410522,-9999,    9
104963,19410523,-9999,    9
104963,19410524,-9999,    9
104963,19410525,-9999,    9
104963,19410526,-9999,    9
104963,19410527,-9999,    9
104963,19410528,-9999,    9
104963,19410529,-9999,    9
104963,19410530,-9999,    9
104963,19410531,-9999,    9
104963,19410601,-9999,    9
104963,19410602,-9999,    9
104963,19410603,-9999,    9
104963,19410604,-9999,    9
104963,19410605,-9999,    9
104963,19410606,-9999,    9
104963,19410607,-9999,    9
104963,19410608,-9999,    9
104963,19410609,-9999,    9
104963,19410610,-9999,    9
104963,19410611,-9999,    9
104963,19410612,-9999,    9
104963,19410613,-9999,    9
104963,19410614,-9999,    9
104963,19410615,-9999,    9
