EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, NANCY-OCHEY (STAID: 11246).
Blended and updated with sources: 171632 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
171632,19630101,   10,    0
171632,19630102,   92,    0
171632,19630103,  161,    0
171632,19630104,    9,    0
171632,19630105,   11,    0
171632,19630106,    0,    0
171632,19630107,    1,    0
171632,19630108,    1,    0
171632,19630109,    0,    0
171632,19630110,    0,    0
171632,19630111,    0,    0
171632,19630112,    0,    0
171632,19630113,    0,    0
171632,19630114,    1,    0
171632,19630115,    8,    0
171632,19630116,    8,    0
171632,19630117,    0,    0
171632,19630118,    0,    0
171632,19630119,    0,    0
171632,19630120,    0,    0
171632,19630121,    0,    0
171632,19630122,    0,    0
171632,19630123,    0,    0
171632,19630124,    0,    0
171632,19630125,    0,    0
171632,19630126,    0,    0
171632,19630127,    0,    0
171632,19630128,   20,    0
171632,19630129,   16,    0
171632,19630130,    7,    0
171632,19630131,    0,    0
171632,19630201,    0,    0
171632,19630202,    0,    0
171632,19630203,    5,    0
171632,19630204,    0,    0
171632,19630205,    0,    0
171632,19630206,    0,    0
171632,19630207,    0,    0
171632,19630208,    0,    0
171632,19630209,    0,    0
171632,19630210,    0,    0
171632,19630211,   22,    0
171632,19630212,   40,    0
171632,19630213,   21,    0
171632,19630214,    0,    0
171632,19630215,    3,    0
171632,19630216,    0,    0
171632,19630217,    2,    0
171632,19630218,    0,    0
171632,19630219,   60,    0
171632,19630220,   92,    0
