EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, AMIENS-GLISY (STAID: 759).
Blended and updated with sources: 104975 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104975,19290101,    0,    0
104975,19290102,    0,    0
104975,19290103,    0,    0
104975,19290104,    0,    0
104975,19290105,    0,    0
104975,19290106,    0,    0
104975,19290107,    0,    0
104975,19290108,    0,    0
104975,19290109,    0,    0
104975,19290110,    0,    0
104975,19290111,    0,    0
104975,19290112,    0,    0
104975,19290113,    2,    0
104975,19290114,    2,    0
104975,19290115,   55,    0
104975,19290116,    0,    0
104975,19290117,   20,    0
104975,19290118,    8,    0
104975,19290119,    0,    0
104975,19290120,    0,    0
104975,19290121,    0,    0
104975,19290122,    0,    0
104975,19290123,    1,    0
104975,19290124,   18,    0
104975,19290125,   25,    0
104975,19290126,    0,    0
104975,19290127,   20,    0
104975,19290128,    3,    0
104975,19290129,   22,    0
104975,19290130,    4,    0
104975,19290131,   13,    0
104975,19290201,    3,    0
104975,19290202,    0,    0
104975,19290203,    0,    0
104975,19290204,    0,    0
104975,19290205,    0,    0
104975,19290206,    0,    0
104975,19290207,    0,    0
104975,19290208,    0,    0
104975,19290209,    0,    0
104975,19290210,   95,    0
104975,19290211,    0,    0
104975,19290212,    0,    0
104975,19290213,    0,    0
104975,19290214,    0,    0
104975,19290215,    0,    0
104975,19290216,    0,    0
104975,19290217,    0,    0
104975,19290218,    0,    0
104975,19290219,    0,    0
104975,19290220,    0,    0
104975,19290221,    0,    0
104975,19290222,    0,    0
104975,19290223,    0,    0
104975,19290224,  150,    0
104975,19290225,   17,    0
104975,19290226,   12,    0
104975,19290227,    0,    0
104975,19290228,    0,    0
104975,19290301,    0,    0
104975,19290302,    0,    0
104975,19290303,    0,    0
104975,19290304,    0,    0
104975,19290305,    0,    0
104975,19290306,    0,    0
104975,19290307,    0,    0
104975,19290308,    0,    0
104975,19290309,    0,    0
104975,19290310,    0,    0
104975,19290311,    0,    0
104975,19290312,    0,    0
104975,19290313,    0,    0
104975,19290314,    0,    0
104975,19290315,    0,    0
104975,19290316,    0,    0
104975,19290317,    0,    0
104975,19290318,    0,    0
104975,19290319,    0,    0
104975,19290320,    0,    0
104975,19290321,    0,    0
104975,19290322,   31,    0
104975,19290323,    8,    0
104975,19290324,    0,    0
104975,19290325,    0,    0
104975,19290326,    0,    0
104975,19290327,    0,    0
104975,19290328,    0,    0
104975,19290329,    0,    0
104975,19290330,    0,    0
104975,19290331,    0,    0
104975,19290401,    1,    0
104975,19290402,    0,    0
104975,19290403,    0,    0
104975,19290404,   34,    0
104975,19290405,   15,    0
104975,19290406,    0,    0
104975,19290407,    0,    0
104975,19290408,    0,    0
104975,19290409,    0,    0
104975,19290410,   53,    0
104975,19290411,   23,    0
104975,19290412,   31,    0
104975,19290413,    8,    0
104975,19290414,    0,    0
104975,19290415,  149,    0
104975,19290416,    8,    0
104975,19290417,    0,    0
104975,19290418,    0,    0
104975,19290419,    0,    0
104975,19290420,    0,    0
104975,19290421,    4,    0
104975,19290422,    0,    0
104975,19290423,    0,    0
104975,19290424,    4,    0
104975,19290425,    0,    0
104975,19290426,    2,    0
104975,19290427,   15,    0
104975,19290428,    7,    0
104975,19290429,   48,    0
104975,19290430,   14,    0
104975,19290501,    0,    0
104975,19290502,   20,    0
104975,19290503,    9,    0
104975,19290504,    1,    0
104975,19290505,    3,    0
104975,19290506,    1,    0
104975,19290507,    1,    0
104975,19290508,    0,    0
104975,19290509,    0,    0
104975,19290510,    0,    0
104975,19290511,   54,    0
104975,19290512,-9999,    9
104975,19290513,    8,    0
104975,19290514,    8,    0
104975,19290515,   17,    0
104975,19290516,    0,    0
104975,19290517,    0,    0
104975,19290518,    0,    0
104975,19290519,    0,    0
104975,19290520,    0,    0
104975,19290521,    0,    0
104975,19290522,    0,    0
104975,19290523,    0,    0
104975,19290524,   35,    0
104975,19290525,    0,    0
104975,19290526,   28,    0
104975,19290527,    0,    0
104975,19290528,   83,    0
104975,19290529,    0,    0
104975,19290530,    0,    0
104975,19290531,    0,    0
104975,19290601,    0,    0
104975,19290602,    0,    0
104975,19290603,  121,    0
104975,19290604,    5,    0
104975,19290605,  177,    0
104975,19290606,   18,    0
104975,19290607,   15,    0
104975,19290608,   72,    0
104975,19290609,    0,    0
104975,19290610,    0,    0
104975,19290611,    0,    0
104975,19290612,    0,    0
104975,19290613,    0,    0
104975,19290614,   22,    0
104975,19290615,    0,    0
104975,19290616,    9,    0
104975,19290617,    0,    0
104975,19290618,    0,    0
104975,19290619,    0,    0
104975,19290620,    0,    0
104975,19290621,    0,    0
104975,19290622,    0,    0
104975,19290623,    0,    0
104975,19290624,    0,    0
104975,19290625,    0,    0
104975,19290626,    0,    0
104975,19290627,    0,    0
104975,19290628,    0,    0
104975,19290629,    0,    0
104975,19290630,  158,    0
104975,19290701,    0,    0
104975,19290702,  118,    0
104975,19290703,    3,    0
104975,19290704,   12,    0
104975,19290705,    5,    0
104975,19290706,   76,    0
104975,19290707,    0,    0
104975,19290708,    0,    0
104975,19290709,    0,    0
104975,19290710,    0,    0
104975,19290711,    0,    0
104975,19290712,    0,    0
104975,19290713,    0,    0
104975,19290714,    0,    0
104975,19290715,    0,    0
104975,19290716,    0,    0
104975,19290717,    0,    0
104975,19290718,    0,    0
104975,19290719,    0,    0
104975,19290720,    0,    0
104975,19290721,    0,    0
104975,19290722,    0,    0
104975,19290723,    0,    0
104975,19290724,    0,    0
104975,19290725,    0,    0
104975,19290726,    0,    0
104975,19290727,    0,    0
104975,19290728,   47,    0
104975,19290729,    6,    0
104975,19290730,    0,    0
104975,19290731,    6,    0
104975,19290801,   11,    0
104975,19290802,    0,    0
104975,19290803,    0,    0
104975,19290804,   14,    0
104975,19290805,    0,    0
104975,19290806,    0,    0
104975,19290807,    9,    0
104975,19290808,    3,    0
104975,19290809,    0,    0
104975,19290810,    0,    0
104975,19290811,    0,    0
104975,19290812,    0,    0
104975,19290813,    0,    0
104975,19290814,    0,    0
104975,19290815,    0,    0
104975,19290816,    0,    0
104975,19290817,    0,    0
104975,19290818,    0,    0
104975,19290819,    0,    0
104975,19290820,    0,    0
104975,19290821,    0,    0
104975,19290822,    0,    0
104975,19290823,    0,    0
104975,19290824,    0,    0
104975,19290825,    0,    0
104975,19290826,    0,    0
104975,19290827,    0,    0
104975,19290828,    0,    0
104975,19290829,    0,    0
104975,19290830,    7,    0
104975,19290831,    7,    0
104975,19290901,    0,    0
104975,19290902,    2,    0
104975,19290903,    0,    0
104975,19290904,    1,    0
104975,19290905,    0,    0
104975,19290906,    0,    0
104975,19290907,    0,    0
104975,19290908,    0,    0
104975,19290909,    0,    0
104975,19290910,    0,    0
104975,19290911,    0,    0
104975,19290912,    0,    0
104975,19290913,    0,    0
104975,19290914,    0,    0
104975,19290915,    0,    0
104975,19290916,    0,    0
104975,19290917,   30,    0
104975,19290918,   53,    0
104975,19290919,    0,    0
104975,19290920,    4,    0
104975,19290921,    0,    0
104975,19290922,    0,    0
104975,19290923,    0,    0
104975,19290924,    0,    0
104975,19290925,    0,    0
104975,19290926,    0,    0
104975,19290927,    0,    0
104975,19290928,    0,    0
104975,19290929,    0,    0
104975,19290930,   72,    0
104975,19291001,    0,    0
104975,19291002,  172,    0
104975,19291003,  215,    0
104975,19291004,  102,    0
104975,19291005,    7,    0
104975,19291006,   16,    0
104975,19291007,   18,    0
104975,19291008,   77,    0
104975,19291009,   46,    0
104975,19291010,   16,    0
104975,19291011,    3,    0
104975,19291012,    0,    0
104975,19291013,    0,    0
104975,19291014,    0,    0
104975,19291015,    0,    0
104975,19291016,    0,    0
104975,19291017,    0,    0
104975,19291018,   35,    0
104975,19291019,    0,    0
104975,19291020,   10,    0
104975,19291021,    0,    0
104975,19291022,    0,    0
104975,19291023,    0,    0
104975,19291024,   35,    0
104975,19291025,    0,    0
104975,19291026,    0,    0
104975,19291027,    6,    0
104975,19291028,  102,    0
104975,19291029,  252,    0
104975,19291030,   88,    0
104975,19291031,    0,    0
104975,19291101,    0,    0
104975,19291102,   10,    0
104975,19291103,    3,    0
104975,19291104,    0,    0
104975,19291105,    0,    0
104975,19291106,    0,    0
104975,19291107,   73,    0
104975,19291108,  115,    0
104975,19291109,   10,    0
104975,19291110,    3,    0
104975,19291111,  111,    0
104975,19291112,   44,    0
104975,19291113,  114,    0
104975,19291114,    9,    0
104975,19291115,   35,    0
104975,19291116,  112,    0
104975,19291117,    8,    0
104975,19291118,    0,    0
104975,19291119,    0,    0
104975,19291120,    0,    0
104975,19291121,    0,    0
104975,19291122,   16,    0
104975,19291123,   30,    0
104975,19291124,   52,    0
104975,19291125,   28,    0
104975,19291126,   33,    0
104975,19291127,   65,    0
104975,19291128,   33,    0
104975,19291129,   50,    0
104975,19291130,   35,    0
104975,19291201,   48,    0
104975,19291202,   48,    0
104975,19291203,  152,    0
104975,19291204,   30,    0
104975,19291205,   66,    0
104975,19291206,   60,    0
104975,19291207,   35,    0
104975,19291208,   80,    0
104975,19291209,  121,    0
104975,19291210,   34,    0
104975,19291211,   14,    0
104975,19291212,   40,    0
104975,19291213,    7,    0
104975,19291214,    0,    0
104975,19291215,    8,    0
104975,19291216,    0,    0
104975,19291217,    3,    0
104975,19291218,    0,    0
104975,19291219,    0,    0
104975,19291220,    0,    0
104975,19291221,   46,    0
104975,19291222,   63,    0
104975,19291223,   55,    0
104975,19291224,   10,    0
104975,19291225,    0,    0
104975,19291226,   10,    0
104975,19291227,  195,    0
104975,19291228,   55,    0
104975,19291229,   49,    0
104975,19291230,  101,    0
104975,19291231,   30,    0
104975,19300101,   10,    0
104975,19300102,    0,    0
104975,19300103,    5,    0
104975,19300104,    6,    0
104975,19300105,    0,    0
104975,19300106,    0,    0
104975,19300107,    3,    0
104975,19300108,   17,    0
104975,19300109,    0,    0
104975,19300110,   40,    0
104975,19300111,   75,    0
104975,19300112,   34,    0
104975,19300113,    8,    0
104975,19300114,    0,    0
104975,19300115,   13,    0
104975,19300116,    0,    0
104975,19300117,    0,    0
104975,19300118,    0,    0
104975,19300119,    0,    0
104975,19300120,   25,    0
104975,19300121,    5,    0
104975,19300122,    0,    0
104975,19300123,    0,    0
104975,19300124,    4,    0
104975,19300125,   54,    0
104975,19300126,   11,    0
104975,19300127,    0,    0
104975,19300128,    0,    0
104975,19300129,   20,    0
104975,19300130,    7,    0
104975,19300131,   40,    0
104975,19300201,    0,    0
104975,19300202,   18,    0
104975,19300203,   25,    0
104975,19300204,    3,    0
104975,19300205,   10,    0
104975,19300206,    0,    0
104975,19300207,    0,    0
104975,19300208,    0,    0
104975,19300209,    0,    0
104975,19300210,    0,    0
104975,19300211,    0,    0
104975,19300212,    0,    0
104975,19300213,    0,    0
104975,19300214,    0,    0
104975,19300215,   20,    0
104975,19300216,   21,    0
104975,19300217,    9,    0
104975,19300218,    0,    0
104975,19300219,    0,    0
104975,19300220,    0,    0
104975,19300221,    0,    0
104975,19300222,    0,    0
104975,19300223,    0,    0
104975,19300224,    0,    0
104975,19300225,    0,    0
104975,19300226,    0,    0
104975,19300227,    0,    0
104975,19300228,    0,    0
104975,19300301,    0,    0
104975,19300302,    0,    0
104975,19300303,    0,    0
104975,19300304,    0,    0
104975,19300305,    0,    0
104975,19300306,  100,    0
104975,19300307,    0,    0
104975,19300308,    0,    0
104975,19300309,   26,    0
104975,19300310,   15,    0
104975,19300311,   36,    0
104975,19300312,   48,    0
104975,19300313,   27,    0
104975,19300314,   15,    0
104975,19300315,   45,    0
104975,19300316,   42,    0
104975,19300317,   30,    0
104975,19300318,   12,    0
104975,19300319,   31,    0
104975,19300320,   10,    0
104975,19300321,    0,    0
104975,19300322,    0,    0
104975,19300323,  169,    0
104975,19300324,    9,    0
104975,19300325,    0,    0
104975,19300326,    0,    0
104975,19300327,    0,    0
104975,19300328,    1,    0
104975,19300329,    0,    0
104975,19300330,    0,    0
104975,19300331,    9,    0
104975,19300401,    0,    0
104975,19300402,    6,    0
104975,19300403,   56,    0
104975,19300404,   37,    0
104975,19300405,    8,    0
104975,19300406,    0,    0
104975,19300407,    0,    0
104975,19300408,    0,    0
104975,19300409,    0,    0
104975,19300410,    0,    0
104975,19300411,    0,    0
104975,19300412,   30,    0
104975,19300413,   62,    0
104975,19300414,    8,    0
104975,19300415,    1,    0
104975,19300416,   20,    0
104975,19300417,   15,    0
104975,19300418,    5,    0
104975,19300419,    0,    0
104975,19300420,    0,    0
104975,19300421,    0,    0
104975,19300422,    0,    0
104975,19300423,    5,    0
104975,19300424,    1,    0
104975,19300425,   42,    0
104975,19300426,    4,    0
104975,19300427,    0,    0
104975,19300428,    0,    0
104975,19300429,    0,    0
104975,19300430,    0,    0
104975,19300501,    9,    0
104975,19300502,    0,    0
104975,19300503,    0,    0
104975,19300504,    0,    0
104975,19300505,   44,    0
104975,19300506,    0,    0
104975,19300507,   15,    0
104975,19300508,    2,    0
104975,19300509,   40,    0
104975,19300510,   80,    0
104975,19300511,   29,    0
104975,19300512,    5,    0
104975,19300513,   60,    0
104975,19300514,    2,    0
104975,19300515,    2,    0
104975,19300516,    0,    0
104975,19300517,    0,    0
104975,19300518,   14,    0
104975,19300519,    0,    0
104975,19300520,    2,    0
104975,19300521,    0,    0
104975,19300522,   31,    0
104975,19300523,    2,    0
104975,19300524,  205,    0
104975,19300525,  101,    0
104975,19300526,   23,    0
104975,19300527,  161,    0
104975,19300528,    3,    0
104975,19300529,    0,    0
104975,19300530,  127,    0
104975,19300531,   22,    0
104975,19300601,   17,    0
104975,19300602,    9,    0
104975,19300603,    2,    0
104975,19300604,    0,    0
104975,19300605,    0,    0
104975,19300606,    0,    0
104975,19300607,    0,    0
104975,19300608,    0,    0
104975,19300609,    0,    0
104975,19300610,    0,    0
104975,19300611,    0,    0
104975,19300612,   37,    0
104975,19300613,    2,    0
104975,19300614,    0,    0
104975,19300615,    0,    0
104975,19300616,    0,    0
104975,19300617,   10,    0
104975,19300618,   42,    0
104975,19300619,    0,    0
104975,19300620,    0,    0
104975,19300621,    0,    0
104975,19300622,   13,    0
104975,19300623,    0,    0
104975,19300624,   41,    0
104975,19300625,    2,    0
104975,19300626,   56,    0
104975,19300627,    3,    0
104975,19300628,    0,    0
104975,19300629,    0,    0
104975,19300630,    0,    0
104975,19300701,   39,    0
104975,19300702,    0,    0
104975,19300703,    0,    0
104975,19300704,   18,    0
104975,19300705,    0,    0
104975,19300706,    0,    0
104975,19300707,    3,    0
104975,19300708,    0,    0
104975,19300709,   61,    0
104975,19300710,    9,    0
104975,19300711,  282,    0
104975,19300712,    2,    0
104975,19300713,   77,    0
104975,19300714,   72,    0
104975,19300715,   44,    0
104975,19300716,  102,    0
104975,19300717,   52,    0
104975,19300718,   79,    0
