EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, CHATILLON-SUR-SEINE (STAID: 771).
Blended and updated with sources: 104901 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104901,18900101,    0,    0
104901,18900102,    0,    0
104901,18900103,    0,    0
104901,18900104,   30,    0
104901,18900105,    0,    0
104901,18900106,    0,    0
104901,18900107,    0,    0
104901,18900108,    0,    0
104901,18900109,    0,    0
104901,18900110,   15,    0
104901,18900111,   24,    0
104901,18900112,    0,    0
104901,18900113,   25,    0
104901,18900114,    0,    0
104901,18900115,    0,    0
104901,18900116,    0,    0
104901,18900117,    0,    0
104901,18900118,   10,    0
104901,18900119,  105,    0
104901,18900120,   50,    0
104901,18900121,   10,    0
104901,18900122,  108,    0
104901,18900123,   12,    0
104901,18900124,    0,    0
104901,18900125,   45,    0
104901,18900126,    0,    0
104901,18900127,    0,    0
104901,18900128,    0,    0
104901,18900129,   40,    0
104901,18900130,   10,    0
104901,18900131,    0,    0
104901,18900201,    0,    0
104901,18900202,    0,    0
104901,18900203,    0,    0
104901,18900204,    0,    0
104901,18900205,    0,    0
104901,18900206,    0,    0
104901,18900207,    0,    0
104901,18900208,    0,    0
104901,18900209,    0,    0
104901,18900210,    0,    0
104901,18900211,    0,    0
104901,18900212,    0,    0
104901,18900213,    0,    0
104901,18900214,    0,    0
104901,18900215,    0,    0
104901,18900216,    0,    0
104901,18900217,    0,    0
104901,18900218,    0,    0
104901,18900219,    0,    0
104901,18900220,    0,    0
104901,18900221,    0,    0
104901,18900222,    0,    0
104901,18900223,    0,    0
104901,18900224,    0,    0
104901,18900225,    0,    0
104901,18900226,    0,    0
104901,18900227,    0,    0
104901,18900228,    0,    0
104901,18900301,    0,    0
104901,18900302,    0,    0
104901,18900303,    0,    0
104901,18900304,    0,    0
104901,18900305,   32,    0
104901,18900306,   28,    0
104901,18900307,   35,    0
104901,18900308,    0,    0
104901,18900309,   36,    0
104901,18900310,    0,    0
104901,18900311,   16,    0
104901,18900312,    0,    0
104901,18900313,    0,    0
104901,18900314,   28,    0
104901,18900315,   44,    0
104901,18900316,    0,    0
104901,18900317,    0,    0
104901,18900318,    0,    0
104901,18900319,    0,    0
104901,18900320,    0,    0
104901,18900321,    0,    0
104901,18900322,    0,    0
104901,18900323,  102,    0
104901,18900324,   77,    0
104901,18900325,    0,    0
104901,18900326,    0,    0
104901,18900327,    0,    0
104901,18900328,    0,    0
104901,18900329,    0,    0
104901,18900330,    0,    0
104901,18900331,    0,    0
104901,18900401,    0,    0
104901,18900402,    0,    0
104901,18900403,    0,    0
104901,18900404,   34,    0
104901,18900405,   15,    0
104901,18900406,    0,    0
104901,18900407,   80,    0
104901,18900408,   22,    0
104901,18900409,   12,    0
104901,18900410,    0,    0
104901,18900411,   33,    0
104901,18900412,    0,    0
104901,18900413,    0,    0
104901,18900414,    0,    0
104901,18900415,   14,    0
104901,18900416,   45,    0
104901,18900417,   27,    0
104901,18900418,  152,    0
104901,18900419,   33,    0
104901,18900420,    0,    0
104901,18900421,    0,    0
104901,18900422,   70,    0
104901,18900423,   28,    0
104901,18900424,   34,    0
104901,18900425,  112,    0
104901,18900426,   53,    0
104901,18900427,   56,    0
104901,18900428,    0,    0
104901,18900429,    0,    0
104901,18900430,    0,    0
104901,18900501,    0,    0
104901,18900502,   24,    0
104901,18900503,    0,    0
104901,18900504,    0,    0
104901,18900505,    0,    0
104901,18900506,    0,    0
104901,18900507,   43,    0
104901,18900508,  190,    0
104901,18900509,    0,    0
104901,18900510,  110,    0
104901,18900511,    0,    0
104901,18900512,  490,    0
104901,18900513,   22,    0
104901,18900514,   25,    0
104901,18900515,    0,    0
104901,18900516,    0,    0
104901,18900517,    0,    0
104901,18900518,    0,    0
104901,18900519,   12,    0
104901,18900520,    0,    0
104901,18900521,    0,    0
104901,18900522,    0,    0
104901,18900523,    0,    0
104901,18900524,    0,    0
104901,18900525,   45,    0
104901,18900526,   32,    0
104901,18900527,   33,    0
104901,18900528,  150,    0
104901,18900529,    0,    0
104901,18900530,    0,    0
104901,18900531,   31,    0
104901,18900601,    0,    0
104901,18900602,    0,    0
104901,18900603,    0,    0
104901,18900604,    0,    0
104901,18900605,    0,    0
104901,18900606,   12,    0
104901,18900607,    0,    0
104901,18900608,    0,    0
104901,18900609,    0,    0
104901,18900610,   48,    0
104901,18900611,  102,    0
104901,18900612,   43,    0
104901,18900613,   72,    0
104901,18900614,   12,    0
104901,18900615,    0,    0
104901,18900616,    0,    0
104901,18900617,   50,    0
104901,18900618,    0,    0
104901,18900619,    0,    0
104901,18900620,    0,    0
104901,18900621,    0,    0
104901,18900622,    0,    0
104901,18900623,    0,    0
104901,18900624,    0,    0
104901,18900625,    0,    0
104901,18900626,    0,    0
104901,18900627,    0,    0
104901,18900628,    0,    0
104901,18900629,    0,    0
104901,18900630,   70,    0
104901,18900701,  290,    0
