EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, LEZAY (STAID: 781).
Blended and updated with sources: 104974 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104974,19200101,   58,    0
104974,19200102,   48,    0
104974,19200103,    0,    0
104974,19200104,   14,    0
104974,19200105,    0,    0
104974,19200106,    0,    0
104974,19200107,    0,    0
104974,19200108,    5,    0
104974,19200109,   90,    0
104974,19200110,   41,    0
104974,19200111,  140,    0
104974,19200112,  125,    0
104974,19200113,   53,    0
104974,19200114,   43,    0
104974,19200115,    0,    0
104974,19200116,    0,    0
104974,19200117,    0,    0
104974,19200118,    0,    0
104974,19200119,    0,    0
104974,19200120,   85,    0
104974,19200121,  115,    0
104974,19200122,    3,    0
104974,19200123,    0,    0
104974,19200124,    0,    0
104974,19200125,    0,    0
104974,19200126,    0,    0
104974,19200127,   37,    0
104974,19200128,    9,    0
104974,19200129,   73,    0
104974,19200130,  136,    0
104974,19200131,   74,    0
104974,19200201,   78,    0
104974,19200202,    0,    0
104974,19200203,    0,    0
104974,19200204,    0,    0
104974,19200205,    0,    0
104974,19200206,    0,    0
104974,19200207,    0,    0
104974,19200208,    0,    0
104974,19200209,    0,    0
104974,19200210,    0,    0
104974,19200211,    0,    0
104974,19200212,   71,    0
104974,19200213,    0,    0
104974,19200214,    9,    0
104974,19200215,    0,    0
104974,19200216,    0,    0
104974,19200217,    0,    0
104974,19200218,    0,    0
104974,19200219,    0,    0
104974,19200220,    0,    0
104974,19200221,   12,    0
104974,19200222,    0,    0
104974,19200223,    0,    0
104974,19200224,    0,    0
104974,19200225,    0,    0
104974,19200226,   35,    0
104974,19200227,    0,    0
104974,19200228,    0,    0
104974,19200229,    3,    0
104974,19200301,    0,    0
104974,19200302,    0,    0
104974,19200303,    0,    0
104974,19200304,    0,    0
104974,19200305,    0,    0
104974,19200306,    0,    0
104974,19200307,   55,    0
104974,19200308,   18,    0
104974,19200309,    0,    0
104974,19200310,    0,    0
104974,19200311,    0,    0
104974,19200312,   28,    0
104974,19200313,    4,    0
104974,19200314,   87,    0
104974,19200315,  588,    0
104974,19200316,   46,    0
104974,19200317,    6,    0
104974,19200318,    0,    0
104974,19200319,    0,    0
104974,19200320,    0,    0
104974,19200321,    0,    0
104974,19200322,    0,    0
104974,19200323,    0,    0
104974,19200324,    0,    0
104974,19200325,    0,    0
104974,19200326,    0,    0
104974,19200327,    0,    0
104974,19200328,    0,    0
104974,19200329,    0,    0
104974,19200330,  199,    0
104974,19200331,   26,    0
104974,19200401,   46,    0
104974,19200402,  148,    0
104974,19200403,   39,    0
104974,19200404,   55,    0
104974,19200405,   48,    0
104974,19200406,    0,    0
104974,19200407,    0,    0
104974,19200408,    2,    0
104974,19200409,  113,    0
104974,19200410,   16,    0
104974,19200411,   64,    0
104974,19200412,   25,    0
104974,19200413,  168,    0
104974,19200414,   21,    0
104974,19200415,    6,    0
104974,19200416,   56,    0
104974,19200417,   24,    0
104974,19200418,    4,    0
104974,19200419,    0,    0
104974,19200420,  155,    0
104974,19200421,   19,    0
104974,19200422,   11,    0
104974,19200423,   66,    0
104974,19200424,    3,    0
104974,19200425,    0,    0
104974,19200426,    6,    0
104974,19200427,    0,    0
104974,19200428,    2,    0
104974,19200429,    5,    0
104974,19200430,    0,    0
104974,19200501,    0,    0
104974,19200502,   56,    0
104974,19200503,   94,    0
104974,19200504,    0,    0
104974,19200505,    0,    0
