EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTCORNET (STAID: 785).
Blended and updated with sources: 104883 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104883,19000101,    0,    0
104883,19000102,  222,    0
104883,19000103,   23,    0
104883,19000104,    0,    0
104883,19000105,    0,    0
104883,19000106,    0,    0
104883,19000107,   32,    0
104883,19000108,   43,    0
104883,19000109,   41,    0
104883,19000110,   24,    0
104883,19000111,    0,    0
104883,19000112,    0,    0
104883,19000113,    0,    0
104883,19000114,    0,    0
104883,19000115,  100,    0
104883,19000116,  183,    0
104883,19000117,   93,    0
104883,19000118,    0,    0
104883,19000119,   42,    0
104883,19000120,  242,    0
104883,19000121,    0,    0
104883,19000122,    0,    0
104883,19000123,    0,    0
104883,19000124,   97,    0
104883,19000125,    0,    0
104883,19000126,   80,    0
104883,19000127,  128,    0
104883,19000128,    0,    0
104883,19000129,    0,    0
104883,19000130,   24,    0
104883,19000131,    0,    0
104883,19000201,   32,    0
104883,19000202,    0,    0
104883,19000203,    0,    0
104883,19000204,    0,    0
104883,19000205,    0,    0
104883,19000206,   21,    0
104883,19000207,    0,    0
104883,19000208,    0,    0
104883,19000209,    0,    0
104883,19000210,  125,    0
104883,19000211,   28,    0
104883,19000212,    0,    0
104883,19000213,  175,    0
104883,19000214,   82,    0
104883,19000215,  135,    0
104883,19000216,   58,    0
104883,19000217,   40,    0
104883,19000218,   54,    0
104883,19000219,   51,    0
104883,19000220,    0,    0
104883,19000221,    0,    0
104883,19000222,   77,    0
104883,19000223,   13,    0
104883,19000224,    0,    0
104883,19000225,    0,    0
104883,19000226,   13,    0
104883,19000227,   19,    0
104883,19000228,   37,    0
104883,19000301,    0,    0
104883,19000302,    0,    0
104883,19000303,    0,    0
104883,19000304,    0,    0
104883,19000305,    0,    0
104883,19000306,    0,    0
104883,19000307,    0,    0
104883,19000308,    0,    0
104883,19000309,    0,    0
104883,19000310,    0,    0
104883,19000311,    0,    0
104883,19000312,    0,    0
104883,19000313,    0,    0
104883,19000314,    0,    0
104883,19000315,    0,    0
104883,19000316,   86,    0
104883,19000317,    0,    0
104883,19000318,    0,    0
104883,19000319,   14,    0
104883,19000320,    0,    0
104883,19000321,    0,    0
104883,19000322,    0,    0
104883,19000323,    0,    0
104883,19000324,    0,    0
104883,19000325,   13,    0
104883,19000326,    0,    0
