EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTMORILLON (STAID: 787).
Blended and updated with sources: 104979 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104979,19370101,    0,    0
104979,19370102,    0,    0
104979,19370103,    0,    0
104979,19370104,    0,    0
104979,19370105,    0,    0
104979,19370106,    0,    0
104979,19370107,    0,    0
104979,19370108,   87,    0
104979,19370109,    0,    0
104979,19370110,   35,    0
104979,19370111,    0,    0
104979,19370112,    0,    0
104979,19370113,    0,    0
104979,19370114,    0,    0
104979,19370115,   13,    0
104979,19370116,    0,    0
104979,19370117,   51,    0
104979,19370118,    0,    0
104979,19370119,   97,    0
104979,19370120,   54,    0
104979,19370121,    0,    0
104979,19370122,    0,    0
104979,19370123,    0,    0
104979,19370124,    0,    0
104979,19370125,    0,    0
104979,19370126,   65,    0
104979,19370127,    0,    0
104979,19370128,    0,    0
104979,19370129,   83,    0
104979,19370130,    0,    0
104979,19370131,    0,    0
104979,19370201,   23,    0
104979,19370202,    0,    0
104979,19370203,    0,    0
104979,19370204,    0,    0
104979,19370205,   62,    0
104979,19370206,    0,    0
104979,19370207,    0,    0
104979,19370208,  113,    0
104979,19370209,  128,    0
104979,19370210,   64,    0
104979,19370211,   78,    0
104979,19370212,   78,    0
104979,19370213,    0,    0
104979,19370214,    0,    0
104979,19370215,    0,    0
104979,19370216,    0,    0
104979,19370217,  113,    0
104979,19370218,  149,    0
104979,19370219,   50,    0
104979,19370220,  103,    0
104979,19370221,  112,    0
104979,19370222,    0,    0
104979,19370223,   47,    0
104979,19370224,    0,    0
104979,19370225,  126,    0
104979,19370226,    0,    0
104979,19370227,    0,    0
104979,19370228,    0,    0
104979,19370301,  119,    0
104979,19370302,    0,    0
104979,19370303,    0,    0
104979,19370304,    0,    0
104979,19370305,  162,    0
104979,19370306,  108,    0
104979,19370307,   79,    0
104979,19370308,    0,    0
104979,19370309,   53,    0
104979,19370310,   74,    0
104979,19370311,   52,    0
104979,19370312,    0,    0
104979,19370313,   67,    0
104979,19370314,    0,    0
104979,19370315,    0,    0
104979,19370316,    0,    0
104979,19370317,    0,    0
104979,19370318,   97,    0
104979,19370319,  192,    0
104979,19370320,    0,    0
104979,19370321,    0,    0
104979,19370322,   13,    0
104979,19370323,   54,    0
104979,19370324,    0,    0
104979,19370325,   32,    0
104979,19370326,   98,    0
104979,19370327,    0,    0
104979,19370328,    0,    0
104979,19370329,    0,    0
104979,19370330,    0,    0
104979,19370331,    0,    0
104979,19370401,    0,    0
104979,19370402,    0,    0
104979,19370403,    0,    0
104979,19370404,   47,    0
104979,19370405,    0,    0
104979,19370406,   35,    0
104979,19370407,    0,    0
104979,19370408,    0,    0
104979,19370409,    0,    0
104979,19370410,    0,    0
104979,19370411,    0,    0
104979,19370412,    0,    0
104979,19370413,    0,    0
104979,19370414,    0,    0
104979,19370415,   73,    0
104979,19370416,   86,    0
104979,19370417,   50,    0
104979,19370418,   51,    0
104979,19370419,   72,    0
104979,19370420,   65,    0
104979,19370421,   53,    0
104979,19370422,    0,    0
104979,19370423,    0,    0
104979,19370424,    0,    0
104979,19370425,    0,    0
