EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PAMIERS (STAID: 792).
Blended and updated with sources: 104887 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104887,19600101,    0,    0
104887,19600102,   35,    0
104887,19600103,    0,    0
104887,19600104,    0,    0
104887,19600105,    0,    0
104887,19600106,    0,    0
104887,19600107,    0,    0
104887,19600108,    0,    0
104887,19600109,    0,    0
104887,19600110,    0,    0
104887,19600111,   10,    0
104887,19600112,   30,    0
104887,19600113,  112,    0
104887,19600114,   28,    0
104887,19600115,   16,    0
104887,19600116,   12,    0
104887,19600117,    0,    0
104887,19600118,    0,    0
104887,19600119,   12,    0
104887,19600120,    0,    0
104887,19600121,    0,    0
104887,19600122,    0,    0
104887,19600123,    0,    0
104887,19600124,    0,    0
104887,19600125,    0,    0
104887,19600126,    0,    0
104887,19600127,   60,    0
104887,19600128,   95,    0
104887,19600129,    0,    0
104887,19600130,    0,    0
104887,19600131,    0,    0
104887,19600201,    0,    0
104887,19600202,    0,    0
104887,19600203,    0,    0
104887,19600204,   46,    0
104887,19600205,    0,    0
104887,19600206,    0,    0
104887,19600207,   26,    0
104887,19600208,    0,    0
104887,19600209,    0,    0
104887,19600210,    0,    0
104887,19600211,    0,    0
104887,19600212,   62,    0
104887,19600213,    0,    0
104887,19600214,    0,    0
104887,19600215,    0,    0
104887,19600216,    0,    0
104887,19600217,   30,    0
104887,19600218,    0,    0
104887,19600219,   34,    0
104887,19600220,    0,    0
104887,19600221,    0,    0
104887,19600222,   24,    0
104887,19600223,    0,    0
104887,19600224,    0,    0
104887,19600225,    0,    0
104887,19600226,    0,    0
104887,19600227,    0,    0
104887,19600228,    0,    0
104887,19600229,   16,    0
104887,19600301,    0,    0
104887,19600302,   32,    0
104887,19600303,    0,    0
104887,19600304,    0,    0
104887,19600305,    0,    0
104887,19600306,   35,    0
104887,19600307,   34,    0
104887,19600308,    0,    0
104887,19600309,    0,    0
104887,19600310,    0,    0
104887,19600311,    0,    0
104887,19600312,    0,    0
104887,19600313,    0,    0
104887,19600314,   25,    0
104887,19600315,  130,    0
104887,19600316,   75,    0
104887,19600317,    0,    0
104887,19600318,    0,    0
104887,19600319,    0,    0
104887,19600320,    0,    0
104887,19600321,    0,    0
104887,19600322,    0,    0
104887,19600323,    0,    0
104887,19600324,    0,    0
104887,19600325,   34,    0
104887,19600326,    0,    0
104887,19600327,   56,    0
104887,19600328,    0,    0
104887,19600329,    0,    0
104887,19600330,   48,    0
104887,19600331,   52,    0
104887,19600401,    0,    0
104887,19600402,    0,    0
104887,19600403,    0,    0
104887,19600404,   52,    0
104887,19600405,    0,    0
104887,19600406,    0,    0
104887,19600407,    0,    0
104887,19600408,    0,    0
104887,19600409,    0,    0
104887,19600410,    0,    0
104887,19600411,   28,    0
104887,19600412,    0,    0
104887,19600413,    0,    0
104887,19600414,   18,    0
104887,19600415,    0,    0
104887,19600416,  112,    0
104887,19600417,    0,    0
104887,19600418,    0,    0
104887,19600419,    0,    0
104887,19600420,   14,    0
104887,19600421,   38,    0
104887,19600422,    0,    0
104887,19600423,    0,    0
104887,19600424,    0,    0
104887,19600425,    0,    0
104887,19600426,    0,    0
104887,19600427,    0,    0
104887,19600428,    0,    0
104887,19600429,    0,    0
104887,19600430,    0,    0
104887,19600501,    0,    0
104887,19600502,    0,    0
104887,19600503,    0,    0
104887,19600504,    0,    0
104887,19600505,    0,    0
104887,19600506,    0,    0
104887,19600507,    0,    0
104887,19600508,    0,    0
104887,19600509,    0,    0
104887,19600510,    0,    0
104887,19600511,    0,    0
104887,19600512,    0,    0
104887,19600513,    0,    0
104887,19600514,    0,    0
104887,19600515,   48,    0
104887,19600516,    0,    0
104887,19600517,    0,    0
104887,19600518,    0,    0
104887,19600519,    0,    0
104887,19600520,    0,    0
104887,19600521,  132,    0
104887,19600522,    0,    0
104887,19600523,    0,    0
104887,19600524,    0,    0
104887,19600525,    0,    0
104887,19600526,    0,    0
104887,19600527,    0,    0
104887,19600528,    0,    0
104887,19600529,    0,    0
104887,19600530,    0,    0
104887,19600531,    0,    0
104887,19600601,    0,    0
104887,19600602,    0,    0
104887,19600603,    0,    0
104887,19600604,    0,    0
104887,19600605,    0,    0
104887,19600606,   70,    0
104887,19600607,    0,    0
104887,19600608,    0,    0
104887,19600609,   28,    0
104887,19600610,    0,    0
104887,19600611,    0,    0
104887,19600612,    0,    0
104887,19600613,   56,    0
104887,19600614,    0,    0
104887,19600615,    0,    0
104887,19600616,    0,    0
104887,19600617,    0,    0
104887,19600618,    0,    0
104887,19600619,    0,    0
104887,19600620,    0,    0
104887,19600621,    0,    0
104887,19600622,    0,    0
104887,19600623,  212,    0
104887,19600624,  187,    0
104887,19600625,  215,    0
104887,19600626,    0,    0
104887,19600627,    0,    0
104887,19600628,    0,    0
104887,19600629,    0,    0
104887,19600630,   30,    0
104887,19600701,  102,    0
104887,19600702,  253,    0
104887,19600703,    0,    0
104887,19600704,    0,    0
104887,19600705,    0,    0
104887,19600706,   21,    0
104887,19600707,  130,    0
104887,19600708,   45,    0
104887,19600709,    0,    0
104887,19600710,    0,    0
104887,19600711,   20,    0
104887,19600712,    0,    0
104887,19600713,    0,    0
104887,19600714,   90,    0
104887,19600715,   25,    0
104887,19600716,    0,    0
104887,19600717,    0,    0
104887,19600718,   12,    0
104887,19600719,   23,    0
104887,19600720,    0,    0
104887,19600721,    0,    0
104887,19600722,    0,    0
104887,19600723,   32,    0
104887,19600724,   34,    0
104887,19600725,    0,    0
104887,19600726,    0,    0
104887,19600727,    0,    0
104887,19600728,    0,    0
104887,19600729,  142,    0
104887,19600730,  135,    0
104887,19600731,  110,    0
104887,19600801,    0,    0
104887,19600802,    0,    0
104887,19600803,    0,    0
104887,19600804,  106,    0
104887,19600805,    0,    0
104887,19600806,    0,    0
104887,19600807,   81,    0
