EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, SAINT-GERMAIN-LES-BELLES (STAID: 796).
Blended and updated with sources: 104980 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104980,19210101,    0,    0
104980,19210102,   55,    0
104980,19210103,    0,    0
104980,19210104,    0,    0
104980,19210105,    0,    0
104980,19210106,    0,    0
104980,19210107,   45,    0
104980,19210108,   36,    0
104980,19210109,    0,    0
104980,19210110,   48,    0
104980,19210111,   55,    0
104980,19210112,   50,    0
104980,19210113,   90,    0
104980,19210114,   33,    0
104980,19210115,    0,    0
104980,19210116,    0,    0
104980,19210117,   46,    0
104980,19210118,   45,    0
104980,19210119,    0,    0
104980,19210120,    0,    0
104980,19210121,    0,    0
104980,19210122,    0,    0
104980,19210123,   31,    0
104980,19210124,   30,    0
104980,19210125,    0,    0
104980,19210126,    0,    0
104980,19210127,  122,    0
104980,19210128,    0,    0
104980,19210129,    0,    0
104980,19210130,  129,    0
104980,19210131,   50,    0
104980,19210201,    0,    0
104980,19210202,   45,    0
104980,19210203,    0,    0
104980,19210204,   62,    0
104980,19210205,  118,    0
104980,19210206,    0,    0
104980,19210207,    0,    0
104980,19210208,    0,    0
104980,19210209,    0,    0
104980,19210210,    0,    0
104980,19210211,    0,    0
104980,19210212,    0,    0
104980,19210213,    0,    0
104980,19210214,    0,    0
104980,19210215,    0,    0
104980,19210216,    0,    0
104980,19210217,    0,    0
104980,19210218,    0,    0
104980,19210219,    0,    0
104980,19210220,    0,    0
104980,19210221,    0,    0
104980,19210222,    0,    0
104980,19210223,    0,    0
104980,19210224,    0,    0
104980,19210225,   50,    0
104980,19210226,    0,    0
104980,19210227,    0,    0
104980,19210228,    0,    0
104980,19210301,    0,    0
104980,19210302,    0,    0
104980,19210303,    0,    0
104980,19210304,    0,    0
104980,19210305,    0,    0
104980,19210306,   61,    0
104980,19210307,   30,    0
104980,19210308,    0,    0
104980,19210309,    0,    0
104980,19210310,    0,    0
104980,19210311,    0,    0
104980,19210312,    0,    0
104980,19210313,    0,    0
104980,19210314,  159,    0
104980,19210315,    0,    0
104980,19210316,    0,    0
104980,19210317,    0,    0
104980,19210318,   64,    0
104980,19210319,   34,    0
104980,19210320,   80,    0
104980,19210321,    0,    0
104980,19210322,    0,    0
104980,19210323,    0,    0
104980,19210324,    0,    0
104980,19210325,    0,    0
104980,19210326,   21,    0
104980,19210327,    0,    0
104980,19210328,    0,    0
104980,19210329,   71,    0
104980,19210330,    0,    0
