EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, VOUZIERS (STAID: 804).
Blended and updated with sources: 104886 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
104886,18900101,    0,    0
104886,18900102,    0,    0
104886,18900103,    0,    0
104886,18900104,    0,    0
104886,18900105,   14,    0
104886,18900106,   47,    0
104886,18900107,    0,    0
104886,18900108,    0,    0
104886,18900109,    0,    0
104886,18900110,  113,    0
104886,18900111,   12,    0
104886,18900112,    0,    0
104886,18900113,   21,    0
104886,18900114,   24,    0
104886,18900115,    0,    0
104886,18900116,    0,    0
104886,18900117,    0,    0
104886,18900118,    0,    0
104886,18900119,   28,    0
104886,18900120,   83,    0
104886,18900121,   23,    0
104886,18900122,   43,    0
104886,18900123,  155,    0
104886,18900124,  100,    0
104886,18900125,   50,    0
104886,18900126,   12,    0
104886,18900127,  105,    0
104886,18900128,    0,    0
104886,18900129,   32,    0
104886,18900130,   20,    0
104886,18900131,    0,    0
104886,18900201,    0,    0
104886,18900202,    0,    0
104886,18900203,    0,    0
104886,18900204,    0,    0
104886,18900205,    0,    0
104886,18900206,    0,    0
104886,18900207,    0,    0
104886,18900208,    0,    0
104886,18900209,    0,    0
104886,18900210,    0,    0
104886,18900211,    0,    0
104886,18900212,    0,    0
104886,18900213,    0,    0
104886,18900214,    0,    0
104886,18900215,    0,    0
104886,18900216,    0,    0
104886,18900217,    0,    0
104886,18900218,    0,    0
104886,18900219,    0,    0
104886,18900220,    0,    0
104886,18900221,    0,    0
104886,18900222,    0,    0
104886,18900223,    0,    0
104886,18900224,    0,    0
104886,18900225,    0,    0
104886,18900226,    0,    0
104886,18900227,    0,    0
104886,18900228,   15,    0
104886,18900301,    0,    0
104886,18900302,   15,    0
104886,18900303,    0,    0
104886,18900304,    0,    0
104886,18900305,    0,    0
104886,18900306,   22,    0
104886,18900307,    0,    0
104886,18900308,    0,    0
104886,18900309,   74,    0
104886,18900310,    0,    0
104886,18900311,   20,    0
104886,18900312,    0,    0
104886,18900313,    0,    0
104886,18900314,    0,    0
104886,18900315,    0,    0
104886,18900316,    0,    0
104886,18900317,   15,    0
104886,18900318,    0,    0
104886,18900319,    0,    0
104886,18900320,  125,    0
104886,18900321,   23,    0
104886,18900322,   20,    0
104886,18900323,    0,    0
104886,18900324,   15,    0
104886,18900325,   92,    0
104886,18900326,   31,    0
104886,18900327,    0,    0
104886,18900328,    0,    0
104886,18900329,    0,    0
104886,18900330,    0,    0
104886,18900331,    0,    0
104886,18900401,    0,    0
104886,18900402,    0,    0
104886,18900403,    0,    0
104886,18900404,    0,    0
104886,18900405,    0,    0
104886,18900406,    0,    0
104886,18900407,    0,    0
104886,18900408,   85,    0
104886,18900409,   41,    0
104886,18900410,    0,    0
104886,18900411,    0,    0
104886,18900412,    0,    0
104886,18900413,    0,    0
104886,18900414,    0,    0
104886,18900415,    0,    0
104886,18900416,    0,    0
104886,18900417,    0,    0
104886,18900418,   32,    0
104886,18900419,   80,    0
104886,18900420,    0,    0
104886,18900421,    0,    0
104886,18900422,    0,    0
104886,18900423,   79,    0
104886,18900424,   70,    0
104886,18900425,   56,    0
104886,18900426,  197,    0
104886,18900427,    0,    0
104886,18900428,    0,    0
104886,18900429,    0,    0
104886,18900430,    0,    0
104886,18900501,    0,    0
104886,18900502,    0,    0
104886,18900503,    0,    0
104886,18900504,    0,    0
104886,18900505,    0,    0
104886,18900506,    0,    0
104886,18900507,    0,    0
104886,18900508,   27,    0
104886,18900509,    0,    0
104886,18900510,   58,    0
104886,18900511,   51,    0
104886,18900512,    0,    0
104886,18900513,    0,    0
104886,18900514,   84,    0
104886,18900515,    0,    0
104886,18900516,    0,    0
104886,18900517,    0,    0
104886,18900518,   65,    0
104886,18900519,   46,    0
104886,18900520,   35,    0
104886,18900521,    0,    0
104886,18900522,    0,    0
104886,18900523,    0,    0
104886,18900524,    0,    0
104886,18900525,    0,    0
104886,18900526,  123,    0
104886,18900527,   24,    0
104886,18900528,    0,    0
104886,18900529,    0,    0
104886,18900530,    0,    0
104886,18900531,    0,    0
104886,18900601,    0,    0
104886,18900602,    0,    0
104886,18900603,    0,    0
104886,18900604,    0,    0
104886,18900605,    0,    0
104886,18900606,   21,    0
104886,18900607,    7,    0
104886,18900608,    0,    0
104886,18900609,    0,    0
104886,18900610,    0,    0
104886,18900611,    0,    0
104886,18900612,  119,    0
104886,18900613,   80,    0
104886,18900614,   47,    0
104886,18900615,    0,    0
104886,18900616,    0,    0
104886,18900617,   55,    0
104886,18900618,    0,    0
104886,18900619,    0,    0
104886,18900620,    0,    0
104886,18900621,    0,    0
104886,18900622,    0,    0
104886,18900623,    0,    0
104886,18900624,    0,    0
104886,18900625,    0,    0
104886,18900626,    0,    0
104886,18900627,   98,    0
104886,18900628,    0,    0
104886,18900629,    0,    0
104886,18900630,    0,    0
104886,18900701,  170,    0
104886,18900702,   65,    0
104886,18900703,   80,    0
104886,18900704,   14,    0
104886,18900705,   24,    0
104886,18900706,   41,    0
104886,18900707,   39,    0
104886,18900708,    0,    0
104886,18900709,   71,    0
104886,18900710,  296,    0
104886,18900711,    0,    0
104886,18900712,   45,    0
104886,18900713,    0,    0
104886,18900714,    0,    0
104886,18900715,    0,    0
104886,18900716,    0,    0
104886,18900717,    0,    0
104886,18900718,    0,    0
104886,18900719,   64,    0
104886,18900720,   31,    0
104886,18900721,    0,    0
104886,18900722,    0,    0
104886,18900723,    0,    0
104886,18900724,    0,    0
104886,18900725,    0,    0
104886,18900726,    0,    0
104886,18900727,    0,    0
104886,18900728,    0,    0
104886,18900729,    0,    0
104886,18900730,    0,    0
104886,18900731,    0,    0
104886,18900801,    0,    0
104886,18900802,   90,    0
104886,18900803,  122,    0
104886,18900804,   35,    0
104886,18900805,    0,    0
104886,18900806,   15,    0
104886,18900807,    0,    0
104886,18900808,    0,    0
104886,18900809,    0,    0
104886,18900810,    0,    0
104886,18900811,  227,    0
104886,18900812,  125,    0
104886,18900813,    0,    0
104886,18900814,   38,    0
104886,18900815,    0,    0
104886,18900816,    0,    0
104886,18900817,    0,    0
104886,18900818,  121,    0
104886,18900819,    0,    0
104886,18900820,    0,    0
104886,18900821,    0,    0
104886,18900822,    0,    0
104886,18900823,   32,    0
104886,18900824,   51,    0
104886,18900825,    0,    0
104886,18900826,    0,    0
104886,18900827,   34,    0
104886,18900828,  285,    0
104886,18900829,    0,    0
104886,18900830,   75,    0
104886,18900831,    0,    0
104886,18900901,    0,    0
104886,18900902,    0,    0
104886,18900903,    0,    0
104886,18900904,    0,    0
104886,18900905,  110,    0
104886,18900906,    0,    0
104886,18900907,    0,    0
104886,18900908,    0,    0
104886,18900909,    0,    0
104886,18900910,    0,    0
104886,18900911,    0,    0
104886,18900912,    0,    0
104886,18900913,    0,    0
104886,18900914,    0,    0
104886,18900915,    0,    0
