EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, LE PUY - LOUDES (STAID: 2196).
Blended and updated with sources: 106196 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
106196,19831001,-9999,    9
106196,19831002,-9999,    9
106196,19831003,-9999,    9
106196,19831004,-9999,    9
106196,19831005,-9999,    9
106196,19831006,-9999,    9
106196,19831007,-9999,    9
106196,19831008,-9999,    9
106196,19831009,-9999,    9
106196,19831010,-9999,    9
106196,19831011,-9999,    9
106196,19831012,-9999,    9
106196,19831013,-9999,    9
106196,19831014,-9999,    9
106196,19831015,-9999,    9
106196,19831016,-9999,    9
106196,19831017,-9999,    9
106196,19831018,-9999,    9
106196,19831019,-9999,    9
106196,19831020,-9999,    9
106196,19831021,-9999,    9
106196,19831022,-9999,    9
106196,19831023,-9999,    9
106196,19831024,-9999,    9
106196,19831025,-9999,    9
106196,19831026,-9999,    9
106196,19831027,-9999,    9
106196,19831028,-9999,    9
106196,19831029,-9999,    9
106196,19831030,-9999,    9
106196,19831031,-9999,    9
106196,19831101,    0,    0
106196,19831102,    0,    0
106196,19831103,    0,    0
106196,19831104,    0,    0
106196,19831105,    0,    0
106196,19831106,    0,    0
106196,19831107,    0,    0
106196,19831108,    0,    0
106196,19831109,    0,    0
106196,19831110,    0,    0
106196,19831111,    0,    0
106196,19831112,    0,    0
106196,19831113,    0,    0
106196,19831114,    0,    0
106196,19831115,    0,    0
106196,19831116,    0,    0
106196,19831117,    0,    0
106196,19831118,    0,    0
106196,19831119,    0,    0
106196,19831120,    0,    0
106196,19831121,    0,    0
106196,19831122,    0,    0
106196,19831123,    0,    0
106196,19831124,    6,    0
106196,19831125,    0,    0
106196,19831126,    2,    0
106196,19831127,   91,    0
106196,19831128,   26,    0
106196,19831129,   10,    0
106196,19831130,    0,    0
106196,19831201,    0,    0
106196,19831202,    0,    0
106196,19831203,    0,    0
106196,19831204,    0,    0
106196,19831205,    0,    0
106196,19831206,    0,    0
106196,19831207,    0,    0
106196,19831208,    0,    0
106196,19831209,   17,    0
106196,19831210,   19,    0
106196,19831211,    0,    0
106196,19831212,    0,    0
106196,19831213,    0,    0
106196,19831214,    0,    0
106196,19831215,    5,    0
106196,19831216,   92,    0
106196,19831217,    0,    0
106196,19831218,   15,    0
106196,19831219,    0,    0
106196,19831220,    0,    0
106196,19831221,    9,    0
106196,19831222,   24,    0
106196,19831223,    0,    0
106196,19831224,    0,    0
106196,19831225,    0,    0
