EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MILLAU (STAID: 2200).
Blended and updated with sources: 106200 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
106200,19640401,   83,    0
106200,19640402,   54,    0
106200,19640403,   11,    0
106200,19640404,    0,    0
106200,19640405,    7,    0
106200,19640406,   22,    0
106200,19640407,    0,    0
106200,19640408,    0,    0
106200,19640409,    0,    0
106200,19640410,    0,    0
106200,19640411,    0,    0
106200,19640412,    0,    0
106200,19640413,   26,    0
106200,19640414,    0,    0
106200,19640415,    0,    0
106200,19640416,    0,    0
106200,19640417,  131,    0
106200,19640418,  139,    0
106200,19640419,  322,    0
106200,19640420,   62,    0
106200,19640421,   21,    0
106200,19640422,    1,    0
106200,19640423,    4,    0
106200,19640424,   27,    0
106200,19640425,    0,    0
106200,19640426,    0,    0
106200,19640427,    0,    0
106200,19640428,    0,    0
106200,19640429,    0,    0
106200,19640430,    0,    0
106200,19640501,    0,    0
106200,19640502,    0,    0
106200,19640503,    0,    0
106200,19640504,    0,    0
106200,19640505,    1,    0
106200,19640506,    0,    0
106200,19640507,    0,    0
106200,19640508,    0,    0
106200,19640509,   47,    0
106200,19640510,    0,    0
106200,19640511,    0,    0
106200,19640512,    0,    0
106200,19640513,    0,    0
106200,19640514,    0,    0
106200,19640515,    0,    0
106200,19640516,    0,    0
106200,19640517,    0,    0
106200,19640518,   10,    0
106200,19640519,    0,    0
106200,19640520,    0,    0
106200,19640521,    0,    0
106200,19640522,   19,    0
106200,19640523,  167,    0
106200,19640524,  480,    0
106200,19640525,    9,    0
106200,19640526,  250,    0
106200,19640527,   53,    0
106200,19640528,    0,    0
106200,19640529,    0,    0
106200,19640530,    0,    0
106200,19640531,    0,    0
106200,19640601,   85,    0
106200,19640602,   13,    0
106200,19640603,    0,    0
106200,19640604,   51,    0
106200,19640605,   48,    0
106200,19640606,    0,    0
106200,19640607,    0,    0
106200,19640608,    0,    0
106200,19640609,    0,    0
106200,19640610,    0,    0
106200,19640611,    1,    0
106200,19640612,    0,    0
106200,19640613,    0,    0
106200,19640614,    2,    0
106200,19640615,    0,    0
106200,19640616,    0,    0
106200,19640617,    0,    0
106200,19640618,    0,    0
106200,19640619,    0,    0
106200,19640620,    0,    0
106200,19640621,    0,    0
106200,19640622,    0,    0
106200,19640623,    0,    0
106200,19640624,    0,    0
106200,19640625,   16,    0
106200,19640626,  615,    0
106200,19640627,   53,    0
106200,19640628,    0,    0
106200,19640629,    0,    0
106200,19640630,    0,    0
106200,19640701,    0,    0
106200,19640702,    0,    0
106200,19640703,    0,    0
106200,19640704,    2,    0
106200,19640705,   47,    0
106200,19640706,    0,    0
106200,19640707,    0,    0
106200,19640708,    0,    0
106200,19640709,    1,    0
106200,19640710,    6,    0
106200,19640711,    0,    0
106200,19640712,    0,    0
106200,19640713,    0,    0
106200,19640714,    0,    0
106200,19640715,    0,    0
106200,19640716,    0,    0
106200,19640717,    0,    0
106200,19640718,    0,    0
106200,19640719,    0,    0
106200,19640720,    0,    0
106200,19640721,    0,    0
106200,19640722,    0,    0
106200,19640723,    0,    0
106200,19640724,    0,    0
106200,19640725,    0,    0
106200,19640726,    0,    0
106200,19640727,    6,    0
106200,19640728,    0,    0
106200,19640729,    0,    0
106200,19640730,    0,    0
106200,19640731,    0,    0
106200,19640801,    0,    0
106200,19640802,    0,    0
106200,19640803,    0,    0
106200,19640804,    0,    0
106200,19640805,    0,    0
106200,19640806,    9,    0
106200,19640807,    4,    0
106200,19640808,    0,    0
106200,19640809,    1,    0
106200,19640810,    0,    0
106200,19640811,    0,    0
106200,19640812,    0,    0
106200,19640813,    0,    0
106200,19640814,   35,    0
106200,19640815,    0,    0
106200,19640816,    0,    0
106200,19640817,  108,    0
106200,19640818,   11,    0
106200,19640819,    5,    0
106200,19640820,   20,    0
106200,19640821,  253,    0
106200,19640822,    0,    0
106200,19640823,    0,    0
106200,19640824,    0,    0
106200,19640825,    0,    0
106200,19640826,    0,    0
106200,19640827,    0,    0
106200,19640828,    0,    0
106200,19640829,    0,    0
106200,19640830,    0,    0
106200,19640831,    0,    0
106200,19640901,    0,    0
106200,19640902,    1,    0
106200,19640903,  102,    0
106200,19640904,  428,    0
106200,19640905,    0,    0
106200,19640906,    0,    0
106200,19640907,    0,    0
106200,19640908,    0,    0
106200,19640909,    0,    0
106200,19640910,    0,    0
106200,19640911,    0,    0
106200,19640912,    0,    0
106200,19640913,    0,    0
106200,19640914,    0,    0
106200,19640915,    0,    0
106200,19640916,  144,    0
106200,19640917,    0,    0
106200,19640918,    0,    0
106200,19640919,    0,    0
106200,19640920,    2,    0
106200,19640921,    0,    0
106200,19640922,    0,    0
106200,19640923,    0,    0
106200,19640924,    0,    0
106200,19640925,    0,    0
106200,19640926,    4,    0
106200,19640927,   57,    0
106200,19640928,    0,    0
106200,19640929,   13,    0
106200,19640930,    2,    0
106200,19641001,  158,    0
106200,19641002,  101,    0
106200,19641003,    0,    0
106200,19641004,    0,    0
106200,19641005,    0,    0
106200,19641006,    0,    0
106200,19641007,   89,    0
106200,19641008,  142,    0
106200,19641009,  111,    0
106200,19641010,   30,    0
106200,19641011,   46,    0
106200,19641012,    2,    0
106200,19641013,    0,    0
106200,19641014,   30,    0
106200,19641015,   31,    0
106200,19641016,   17,    0
106200,19641017,   27,    0
106200,19641018,    0,    0
106200,19641019,    0,    0
106200,19641020,    0,    0
106200,19641021,    0,    0
106200,19641022,    0,    0
106200,19641023,   38,    0
106200,19641024,    0,    0
106200,19641025,    0,    0
106200,19641026,    0,    0
106200,19641027,    0,    0
106200,19641028,    0,    0
106200,19641029,    0,    0
106200,19641030,    2,    0
106200,19641031,    0,    0
106200,19641101,    0,    0
106200,19641102,    0,    0
