EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 02-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, CAP CEPET (STAID: 11248).
Blended and updated with sources: 171640 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
171640,19681001,    0,    0
171640,19681002,    0,    0
171640,19681003,    0,    0
171640,19681004,    0,    0
171640,19681005,    0,    0
171640,19681006,    0,    0
171640,19681007,   22,    0
171640,19681008,  108,    0
171640,19681009,    0,    0
171640,19681010,    0,    0
171640,19681011,    0,    0
171640,19681012,    0,    0
171640,19681013,    0,    0
171640,19681014,    0,    0
171640,19681015,    0,    0
171640,19681016,    0,    0
171640,19681017,    0,    0
171640,19681018,    0,    0
171640,19681019,    0,    0
171640,19681020,    0,    0
171640,19681021,    0,    0
171640,19681022,    0,    0
171640,19681023,    0,    0
171640,19681024,  263,    0
171640,19681025,  299,    0
171640,19681026,    0,    0
171640,19681027,    0,    0
171640,19681028,    2,    0
171640,19681029,    0,    0
171640,19681030,    0,    0
171640,19681031,    0,    0
171640,19681101,   15,    0
171640,19681102,  184,    0
171640,19681103,   53,    0
171640,19681104,   12,    0
171640,19681105,    0,    0
171640,19681106,   70,    0
171640,19681107,    6,    0
171640,19681108,   80,    0
171640,19681109,    0,    0
171640,19681110,    0,    0
171640,19681111,    0,    0
171640,19681112,    0,    0
171640,19681113,    0,    0
171640,19681114,    0,    0
171640,19681115,   60,    0
171640,19681116,  170,    0
171640,19681117,    0,    0
171640,19681118,    6,    0
171640,19681119,    0,    0
171640,19681120,    0,    0
171640,19681121,    0,    0
171640,19681122,    0,    0
171640,19681123,    0,    0
171640,19681124,    0,    0
171640,19681125,    0,    0
171640,19681126,    0,    0
171640,19681127,    0,    0
171640,19681128,    0,    0
171640,19681129,    0,    0
171640,19681130,    0,    0
171640,19681201,    0,    0
171640,19681202,    0,    0
171640,19681203,   40,    0
171640,19681204,   17,    0
171640,19681205,    0,    0
171640,19681206,    0,    0
171640,19681207,   40,    0
171640,19681208,  110,    0
171640,19681209,    0,    0
171640,19681210,  110,    0
171640,19681211,    0,    0
